Internal Title,Person,External Title,Affiliation,Fiscal Year,Occupation,Bank_y,Stock Class,Number of Shares,Percentage of Ownership,RSSD_ID_y
Director of Holding Co. and Subsidiary Bank,Henry H. Griffin,Secretary,Pondtoon Boats Dist. Inc.,2014,Executive,"Flint Community Bancshares,Inc.",,164150,14.12%,3341656.
Director of Holding Co. and Subsidiary Bank,Henry H. Griffin,Secretary,Pondtoon Boats Dist. Inc.,2014,Executive,"Flint Community Bancshares,Inc.",,114400,,3341656.
Director of Holding Co. and Subsidiary Bank,Henry H. Griffin,CEO,Lee County Equip.LLC,2014,Executive,"Flint Community Bancshares,Inc.",,164150,14.12%,3341656.
Director of Holding Co. and Subsidiary Bank,Henry H. Griffin,CEO,Lee County Equip.LLC,2014,Executive,"Flint Community Bancshares,Inc.",,114400,,3341656.
Director of Holding Co. and Subsidiary Bank,Henry H. Griffin,Secretary,PeerSouth Inc.,2014,Executive,"Flint Community Bancshares,Inc.",,164150,14.12%,3341656.
Director of Holding Co. and Subsidiary Bank,Henry H. Griffin,Secretary,PeerSouth Inc.,2014,Executive,"Flint Community Bancshares,Inc.",,114400,,3341656.
Director of Holding Co. and Subsidiary Bank,Jim Boyd,,LORAC Properties,2018,Executive,"Flint Community Bancshares,Inc.",,156900,12.24%,
Director of Holding Co. and Subsidiary Bank,Jim Boyd,,Coach & Motor,2018,Executive,"Flint Community Bancshares,Inc.",,156900,12.24%,
Director of Holding Co. and Subsidiary Bank,Jim Boyd,,BGK Properties,2018,Executive,"Flint Community Bancshares,Inc.",,156900,12.24%,
Director of Holding Co. and Subsidiary Bank,Wayne Damron,,,2018,Retired,"Flint Community Bancshares,Inc.",,126500,9.87%,
Director of Holding Co.,Henry H. Griffin,CEO,Southern Ag Carriers Holdings,2018,Executive,"Flint Community Bancshares,Inc.",,274150,21.39%,
Director of Holding Co.,Henry H. Griffin,CEO,Wil-Mil Farms,2018,Executive,"Flint Community Bancshares,Inc.",,274150,21.39%,
Director of Holding Co.,Henry H. Griffin,President,HHG Properties,2018,Executive,"Flint Community Bancshares,Inc.",,274150,21.39%,
Director of Holding Co.,Henry H. Griffin,,Pondtoon Boats Dist. Inc.,2018,Executive,"Flint Community Bancshares,Inc.",,274150,21.39%,
Director of Holding Co.,Henry H. Griffin,CEO,Lee County Equip.LLC,2018,Executive,"Flint Community Bancshares,Inc.",,274150,21.39%,
Director of Holding Co.,Henry H. Griffin,Secretary,PeerSouth Inc.,2018,Executive,"Flint Community Bancshares,Inc.",,274150,21.39%,
Director of Holding Co. and Subsidiary Bank,Jim Boyd,,LORAC Properties,2020,Executive,"Flint Community Bancshares,Inc.",,165750,12.93%,
Director of Holding Co. and Subsidiary Bank,Jim Boyd,,Coach & Motor,2020,Executive,"Flint Community Bancshares,Inc.",,165750,12.93%,
Director of Holding Co. and Subsidiary Bank,Jim Boyd,,BGK Properties,2020,Executive,"Flint Community Bancshares,Inc.",,165750,12.93%,
Director of Holding Co. and Subsidiary Bank,Wayne Damron,,,2020,Retired,"Flint Community Bancshares,Inc.",,116500,9.09%,
Director of Holding Co.,Henry H. Griffin,President,Wil-Mil Farms,2020,Executive,"Flint Community Bancshares,Inc.",,283000,22.07%,
Director of Holding Co.,Henry H. Griffin,,HHG Properties 250 Pondtoon Boats,2020,Executive,"Flint Community Bancshares,Inc.",,283000,22.07%,
Director of Holding Co.,Henry H. Griffin,,Dist. Inc.,2020,Executive,"Flint Community Bancshares,Inc.",,283000,22.07%,
Director of Holding Co.,Henry H. Griffin,CEO,Lee County Equip.LLC,2020,Executive,"Flint Community Bancshares,Inc.",,283000,22.07%,
Director of Holding Co.,Henry H. Griffin,Secretary,PeerSouth Inc.,2020,Executive,"Flint Community Bancshares,Inc.",,283000,22.07%,
Director of Holding Co and Subsidiary Bank,Jim Boyd,,LORAC Properties,2021,Executive,"Flint Community Bancshares,Inc.",,165750,12.93%,
Director of Holding Co and Subsidiary Bank,Jim Boyd,,Coach & Motor,2021,Executive,"Flint Community Bancshares,Inc.",,165750,12.93%,
Director of Holding Co and Subsidiary Bank,Jim Boyd,,BGK Properties,2021,Executive,"Flint Community Bancshares,Inc.",,165750,12.93%,
Director of Holding Co. and Subsidiary Bank,Wayne Damron,,,2021,Retired,"Flint Community Bancshares,Inc.",,116500,9.09%,
Director of Holding Co.,Henry H. Griffin,President,,2021,Executive,"Flint Community Bancshares,Inc.",,283000,22.07%,
Director of Holding Co.,Henry H. Griffin,Secretary,Wil-Mil Farms,2021,Executive,"Flint Community Bancshares,Inc.",,283000,22.07%,
Director of Holding Co.,Henry H. Griffin,CEO,HHG Properties 250,2021,Executive,"Flint Community Bancshares,Inc.",,283000,22.07%,
Director of Holding Co.,Henry H. Griffin,Secretary,Pondtoon Boats Dist. Inc.,2021,Executive,"Flint Community Bancshares,Inc.",,283000,22.07%,
Director of Holding Co.,Henry H. Griffin,,Lee County Equip LLC,2021,Executive,"Flint Community Bancshares,Inc.",,283000,22.07%,
Director of Holding Co.,Henry H. Griffin,,PeerSouth Inc.,2021,Executive,"Flint Community Bancshares,Inc.",,283000,22.07%,
Director and CEO,M. Scott Tomlinson,,,12/31/24,CEO,"Flint Community Bancshares,Inc.",Common Stock,10473,9.33%,
Director and CEO,M. Scott Tomlinson,,,12/31/24,CEO,"Flint Community Bancshares,Inc.",Class A non-voting shares,3026,2.69%,
Director,"William J. Gray,Jr.",,,12/31/24,"President and CEO of Gray Forestry Services,Inc.","Flint Community Bancshares,Inc.",Common Stock,16531,14.73%,
Director,"William J. Gray,Jr.",,,12/31/24,"President and CEO of Gray Forestry Services,Inc.","Flint Community Bancshares,Inc.",Class A Voting Shares,598,0.53%,
Director,"William J. Gray,Jr.",,,12/31/24,"President and CEO of Gray Forestry Services,Inc.","Flint Community Bancshares,Inc.",Class A non-voting shares,6970,6.21%,
Director,Michael M. Murrah,,,12/31/24,"Physician,Albany Diagnostic Clinic","Flint Community Bancshares,Inc.",Common Stock,10220,9.11%,
Director,Michael M. Murrah,,,12/31/24,"Physician,Albany Diagnostic Clinic","Flint Community Bancshares,Inc.",Class A non-voting shares,3026,2.69%,
Director,"Harry N. Blount,III",,,12/31/24,"President,Oak Street Management","Flint Community Bancshares,Inc.",Common Stock,6892,6.14%,
Director,"Harry N. Blount,III",,,12/31/24,"President,Oak Street Management","Flint Community Bancshares,Inc.",Class A non-voting shares,1586,1.41%,
Director,Elizabeth C. Newsome,,,12/31/24,"Physician,Albany OB/GYN","Flint Community Bancshares,Inc.",Common Stock,6619,5.90%,
Director,Elizabeth C. Newsome,,,12/31/24,"Physician,Albany OB/GYN","Flint Community Bancshares,Inc.",Class A non-voting shares,1586,1.41%,
Director,J. Wade Mitchell,,,12/31/24,Mitchell Insurance Agency,"Flint Community Bancshares,Inc.",Common Stock,6619,5.90%,
Director,J. Wade Mitchell,,,12/31/24,Mitchell Insurance Agency,"Flint Community Bancshares,Inc.",Class A non-voting shares,1586,1.41%,
Director,Edward J. Newsome,,,12/31/24,"President,Southeastern Minerals","Flint Community Bancshares,Inc.",Common Stock,8919,7.94%,
Director,Edward J. Newsome,,,12/31/24,"President,Southeastern Minerals","Flint Community Bancshares,Inc.",Class A non-voting shares,1586,1.41%,
,Wellington Partners,,,2014,Principal Shareholder,"FLORIDA BUSINESS BANCGROUP,INC.",common,718000,11.41%,
,Wellington Partners,,,2014,Principal Shareholder,"FLORIDA BUSINESS BANCGROUP,INC.",warrants,143600,11.41%,
Director,"W. Andrew Krusen,Jr.",Director,,2015,Private Investor,"Florida Capital Group,Inc.",Common Stock,43839903,7.10%,3223828
Officer & Director,"W. Andrew Krusen,Jr.",Director,,2015,Private Investor,"Florida Capital Group,Inc.",Common Stock,43839903,7.10%,3223828
Partner,"W. Andrew Krusen,Jr.",Director,,2015,Private Investor,"Florida Capital Group,Inc.",Common Stock,43839903,7.10%,3223828
Managing Member,"W. Andrew Krusen,Jr.",Director,,2015,Private Investor,"Florida Capital Group,Inc.",Common Stock,43839903,7.10%,3223828
Member,"W. Andrew Krusen,Jr.",Director,,2015,Private Investor,"Florida Capital Group,Inc.",Common Stock,43839903,7.10%,3223828
Director,"W. Andrew Krusen,Jr.",Officer & Director,,2016,Private Investor,"Florida Capital Group,Inc.",Common Stock,43839903,7.11%,
Director,"W. Andrew Krusen,Jr.",Partner,,2016,Private Investor,"Florida Capital Group,Inc.",Common Stock,43839903,7.11%,
Director,"W. Andrew Krusen,Jr.",Managing Member,,2016,Private Investor,"Florida Capital Group,Inc.",Common Stock,43839903,7.11%,
Chairman of the Board,"W. Andrew Krusen,Jr.",Officer & Director,"Dominion Financial Group,Inc.",2019,Private Investor,"Florida Capital Group,Inc.",Common Stock,43889903,7.11%,
Chairman of the Board,"W. Andrew Krusen,Jr.",Officer & Director,"Dominion Financial Group,Inc.",2019,Private Investor,"Florida Capital Group,Inc.",Common Stock,43889903,7.11%,
Chairman of the Board,"W. Andrew Krusen,Jr.",Officer & Director,"Dominion Financial Group,Inc.",2019,Private Investor,"Florida Capital Group,Inc.",Common Stock,43889903,7.11%,
Chairman of the Board,"W. Andrew Krusen,Jr.",Officer & Director,"Dominion Financial Group,Inc.",2019,Private Investor,"Florida Capital Group,Inc.",Common Stock,43889903,7.11%,
Chairman of the Board,"W. Andrew Krusen,Jr.",Officer & Director,"Dominion Financial Group,Inc.",2019,Private Investor,"Florida Capital Group,Inc.",Common Stock,43889903,7.11%,
Chairman of the Board,"W. Andrew Krusen,Jr.",Partner,"Dominion Financial Group,Inc.",2019,Private Investor,"Florida Capital Group,Inc.",Common Stock,43889903,7.11%,
Chairman of the Board,"W. Andrew Krusen,Jr.",Managing Member,"Dominion Financial Group,Inc.",2019,Private Investor,"Florida Capital Group,Inc.",Common Stock,43889903,7.11%,
Chairman of the Board,"W. Andrew Krusen,Jr.",Managing Member,"Dominion Financial Group,Inc.",2019,Private Investor,"Florida Capital Group,Inc.",Common Stock,43889903,7.11%,
Chairman of the Board,"W. Andrew Krusen,Jr.",Member,"Dominion Financial Group,Inc.",2019,Private Investor,"Florida Capital Group,Inc.",Common Stock,43889903,7.11%,
Chairman of the Board,"W. Andrew Krusen,Jr.",Partner,"Dominion Financial Group,Inc.",2019,Private Investor,"Florida Capital Group,Inc.",Common Stock,43889903,7.11%,
Chairman of the Board,"W. Andrew Krusen,Jr.",Partner,"Dominion Financial Group,Inc.",2019,Private Investor,"Florida Capital Group,Inc.",Common Stock,43889903,7.11%,
Managing Member,"W. Andrew Krusen,Jr.",Officer & Director,"Dominion Financial Group,Inc.",2019,Private Investor,"Florida Capital Group,Inc.",Common Stock,43889903,7.11%,
Managing Member,"W. Andrew Krusen,Jr.",Officer & Director,"Dominion Financial Group,Inc.",2019,Private Investor,"Florida Capital Group,Inc.",Common Stock,43889903,7.11%,
Chairman of the Board,"W. Andrew Krusen,Jr.",Officer & Director,"Dominion Financial Group,Inc.",2021,Private Investor,"Florida Capital Group,Inc.",Common Stock,43912631,7.12%,
Chairman of the Board,"W. Andrew Krusen,Jr.",Officer & Director,"Black Diamond Exploration,Inc.",2021,Private Investor,"Florida Capital Group,Inc.",Common Stock,43912631,7.12%,
Chairman of the Board,"W. Andrew Krusen,Jr.",Officer & Director,KTI Energy Corp,2021,Private Investor,"Florida Capital Group,Inc.",Common Stock,43912631,7.12%,
Chairman of the Board,"W. Andrew Krusen,Jr.",Officer & Director,KTI Offshore,2021,Private Investor,"Florida Capital Group,Inc.",Common Stock,43912631,7.12%,
Chairman of the Board,"W. Andrew Krusen,Jr.",Officer & Director,2909 W.A.K. Corporation,2021,Private Investor,"Florida Capital Group,Inc.",Common Stock,43912631,7.12%,
Chairman of the Board,"W. Andrew Krusen,Jr.",Officer & Director,Krusen Brothers Interests,2021,Private Investor,"Florida Capital Group,Inc.",Common Stock,43912631,7.12%,
Chairman of the Board,"W. Andrew Krusen,Jr.",Officer & Director,"Gulf Standard Energy Co.,LLC",2021,Private Investor,"Florida Capital Group,Inc.",Common Stock,43912631,7.12%,
Chairman of the Board,"W. Andrew Krusen,Jr.",Officer & Director,"Dominion Capital Group,LLC",2021,Private Investor,"Florida Capital Group,Inc.",Common Stock,43912631,7.12%,
Chairman of the Board,"W. Andrew Krusen,Jr.",Officer & Director,"Dominion Consulting Group,LLC",2021,Private Investor,"Florida Capital Group,Inc.",Common Stock,43912631,7.12%,
Chairman of the Board,"W. Andrew Krusen,Jr.",Officer & Director,"First Dominion Properties,LLC",2021,Private Investor,"Florida Capital Group,Inc.",Common Stock,43912631,7.12%,
Chairman of the Board,"W. Andrew Krusen,Jr.",Officer & Director,"First Dominion Realty,LLC",2021,Private Investor,"Florida Capital Group,Inc.",Common Stock,43912631,7.12%,
Chairman of the Board,"W. Andrew Krusen,Jr.",Officer & Director,"Krusen-Thompson Interests,Ltd.",2021,Private Investor,"Florida Capital Group,Inc.",Common Stock,43912631,7.12%,
Chairman of the Board,"W. Andrew Krusen,Jr.",Officer & Director,Krusen-Vogt & C.,2021,Private Investor,"Florida Capital Group,Inc.",Common Stock,43912631,7.12%,
Chairman of the Board,"W. Andrew Krusen,Jr.",Officer & Director,"ARC Energy Partners,LLC",2021,Private Investor,"Florida Capital Group,Inc.",Common Stock,43912631,7.12%,
Chairman of the Board,"W. Andrew Krusen,Jr.",Officer & Director,"Dominion Financial Group,Inc.",2023,Private Investor,"Florida Capital Group,Inc.",Common Stock,44039411,7.14%,
Chairman of the Board,"W. Andrew Krusen,Jr.",Officer & Director,"Black Diamond Exploration,Inc.",2023,Private Investor,"Florida Capital Group,Inc.",Common Stock,44039411,7.14%,
Chairman of the Board,"W. Andrew Krusen,Jr.",Officer & Director,KTI Energy Corp,2023,Private Investor,"Florida Capital Group,Inc.",Common Stock,44039411,7.14%,
Chairman of the Board,"W. Andrew Krusen,Jr.",Partner,"Krusen Management,Inc.",2023,Private Investor,"Florida Capital Group,Inc.",Common Stock,44039411,7.14%,
Chairman of the Board,"W. Andrew Krusen,Jr.",Managing Member,Krusen Brothers Interests,2023,Private Investor,"Florida Capital Group,Inc.",Common Stock,44039411,7.14%,
Director,C. Neal Anderson,President,"35 Farms,Inc",2016,Sports/Farmer,"Florida Community Bankshares,Inc.",Common,62083,5.75%,2901005
Director,C. Neal Anderson,,Alvarez Family Trust LLC,2016,Sports/Farmer,"Florida Community Bankshares,Inc.",Common,62083,5.75%,2901005
Director,C. Neal Anderson,,AAW LLC,2016,Sports/Farmer,"Florida Community Bankshares,Inc.",Common,62083,5.75%,2901005
Director,Kenneth E. Ellenberg,,,2016,Investments,"Florida Community Bankshares,Inc.",Common,86233,7.98%,2901005
Director,Harvey Sorkin,Director,Floridian Community Bank,2015,Investor,"Floridian Community Holdings,Inc.",,332000,6.45%,3203884
Director,Harvey Sorkin,Director,Floridian Custody Services,2015,Investor,"Floridian Community Holdings,Inc.",,332000,6.45%,3203884
Director,C. Neal Anderson,Director,Community Bank & Trust of FL,2018,Retired,"Florida Community Bankshares,Inc.",Common,62083,5.76%,
Director,Kenneth E. Ellenberg,Director,Community Bank & Trust of FL,2018,Retired,"Florida Community Bankshares,Inc.",Common,86233,8.01%,
Director/Treasurer,Edward H. Carraway,,,2014,Vice President,FMB Banking Corporation,Common Stock,48249,12.30%,
Chairman,"F. Wilson Carraway,III",Director,Farmers & Merchants Bank,2014,Director,FMB Banking Corporation,Common Stock,46956,12.01%,
,FMB Banking Corporation Employee Stock Ownership Plan w/401K Provisions,,,2014,,FMB Banking Corporation,Common Stock,52797,13.51%,
,Renee Carraway Taylor,,,2014,,FMB Banking Corporation,Common Stock,45945,11.76%,
,Elisabeth L. Carraway Neilson,,,2014,,FMB Banking Corporation,Common Stock,44626,11.42%,
Director/Treasurer,Edward H. Carraway,,,2016,Vice President Farmers & Merchants Bank,FMB Banking Corporation,Common Stock,48249,12.30%,
Director,"F. Wilson Carraway,III",Director/Chairman,Farmers & Merchants Bank,2016,Chairman Farmers & Merchants Bank,FMB Banking Corporation,Common Stock,46956,12.01%,
,FMB Banking Corporation Employee Stock Ownership Plan w/401K Provisions,,,2016,,FMB Banking Corporation,Common Stock,52997,13.56%,
,Renee Carraway Taylor,,,2016,,FMB Banking Corporation,Common Stock,45945,11.76%,
,Elisabeth L. Carraway Neilson,,,2016,,FMB Banking Corporation,Common Stock,44626,11.42%,
Director,Leonard H. Blount,Principal,Capstone Benefits Consulting,2015,Insurance benefits consultant,"FMB Equibanc,Inc.",common stock,150000,6.05%,
Director,Leonard H. Blount,Principal,Capstone Benefits Consulting,2016,Insurance benefits consultant,"FMB Equibanc,Inc.",common stock,150000,6.05%,
Director,Leonard H. Blount,Director,Farmers & Merchants Bank,2017,Insurance benefits consultant,"FMB Equibanc,Inc",common stock,150000,6.05%,
Director,Leonard H. Blount,Principal,Capstone Benefits Consulting,2017,Insurance benefits consultant,"FMB Equibanc,Inc",common stock,150000,6.05%,
Director,Leonard H. Blount,,Blount Property Group LLC,2017,Insurance benefits consultant,"FMB Equibanc,Inc",common stock,150000,6.05%,
Director,Leonard H. Blount,,Blount-Dendy Holdings LLC,2017,Insurance benefits consultant,"FMB Equibanc,Inc",common stock,150000,6.05%,
Director,Leonard H. Blount,,Charleston Entertainment Services LLC,2017,Insurance benefits consultant,"FMB Equibanc,Inc",common stock,150000,6.05%,
Director,Leonard H. Blount,,Capstone Hire Benefits Consulting LLC,2017,Insurance benefits consultant,"FMB Equibanc,Inc",common stock,150000,6.05%,
Director,Jeffrey D. Pope,President,"Pope Construction Company,Inc.",2017,Commercial building contractor,"FMB Equibanc,Inc",common stock,153000,6.17%,
Director,Jeffrey D. Pope,,"Pope Group,Inc.",2017,Commercial building contractor,"FMB Equibanc,Inc",common stock,153000,6.17%,
Director,Jeffrey D. Pope,,"B & J Investment Properties,LLC",2017,Commercial building contractor,"FMB Equibanc,Inc",common stock,153000,6.17%,
Director,Jeffrey D. Pope,,"JNCJ,LLC",2017,Commercial building contractor,"FMB Equibanc,Inc",common stock,153000,6.17%,
Director,Jeffrey D. Pope,,"RDJ,LLC",2017,Commercial building contractor,"FMB Equibanc,Inc",common stock,153000,6.17%,
Chairman & Legal Counsel,Jerry W. Loftin,Former Attorney,,2014,,"F & M Holding Company,Inc.",COMMON STOCK,798829,33%,
,Jaynie Loftin Nesmith,Retired,,2014,Retired,"F & M Holding Company,Inc.",COMMON STOCK,798737,33%,
Director,Patrick Wasden,,,2014,Self Employed,"F & M Holding Company,Inc.",COMMON STOCK,798921,33.%,
Chairman & Director,Jerry W. Loftin,Former Attorney (retired),,2015,,"F & M Holding Company,Inc.",COMMON STOCK,798829,33%,
,Jaynie Loftin Nesmith,Retired: Dir. Of Curriculum,,2015,,"F & M Holding Company,Inc.",COMMON STOCK,798737,33%,
,Patrick Wasden,Self Employed Farming,,2015,Self Employed Farming,"F & M Holding Company,Inc.",COMMON STOCK,798921,33.%,
Director,Lynley Loftin Hipps,Performance Support Office TYSY,,2019,Performance Support Office TYSY,"F & M Holding Company,Inc.",COMMON STOCK,798932,33%,
Director,Jaynie Loftin Nesmith,Retired: Dir. Of Curriculum,,2019,,"F & M Holding Company,Inc.",COMMON STOCK,798737,33%,
Chairman/Director,Patrick Wasden,Self Employed,,2019,Self Employed Farming,"F & M Holding Company,Inc.",COMMON STOCK,798931,33.%,
Chairman of the Board and CEO,John R. Wallace,Partner,Stuard/Wallace Investment Partnership,2014,,F&M Bank,Common stock,197700,15.55%,1138450
Director,Jim Myers,Partner,Sills Insurance Agency,2014,"50% owner of Sill Insurance Agency,Dover TN","1st Jackson Bancshares,Inc.",,11891,10.59%,2306993
Director,Jim Myers,Partner,JJSN Partners,2014,"50% owner of Sill Insurance Agency,Dover TN","1st Jackson Bancshares,Inc.",,11891,10.59%,2306993
Director,Jim Myers,Partner,Sills Family Assoc,2014,"50% owner of Sill Insurance Agency,Dover TN","1st Jackson Bancshares,Inc.",,11891,10.59%,2306993
Director/Principal Shareholder,"Gaylon M. Lawrence,Jr.",Owner/Director,"Farmers Bancorp,Inc.",2015,Business Owner,F&M Bank,Common stock,1270271,100%,1138450
Director/Principal Shareholder,"Gaylon M. Lawrence,Jr.",Owner/Director,Farmers Bank & Trust Co.,2015,Business Owner,F&M Bank,Common stock,1270271,100%,1138450
Director/Principal Shareholder,"Gaylon M. Lawrence,Jr.",Owner,Lawrence Land Holdings LLC,2015,Business Owner,F&M Bank,Common stock,1270271,100%,1138450
Director/Principal Shareholder,"Gaylon M. Lawrence,Jr.",Owner,Lawrence Corporate Assets LLC,2015,Business Owner,F&M Bank,Common stock,1270271,100%,1138450
Director/Principal Shareholder,"Gaylon M. Lawrence,Jr.",Owner,Lawrence Gateway LLC,2015,Business Owner,F&M Bank,Common stock,1270271,100%,1138450
Director/Principal Shareholder,"Gaylon M. Lawrence,Jr.",Owner,T&L Lands Inc.,2015,Business Owner,F&M Bank,Common stock,1270271,100%,1138450
Director/Principal Shareholder,"Gaylon M. Lawrence,Jr.",Owner,Delta RIM LLC,2015,Business Owner,F&M Bank,Common stock,1270271,100%,1138450
Director/Principal Shareholder,"Gaylon M. Lawrence,Jr.",Owner,Delta Leasing LLC,2015,Business Owner,F&M Bank,Common stock,1270271,100%,1138450
Director/Principal Shareholder,"Gaylon M. Lawrence,Jr.",Owner,Alliance Investments LLC,2015,Business Owner,F&M Bank,Common stock,1270271,100%,1138450
Director/Principal Shareholder,"Gaylon M. Lawrence,Jr.",Owner,GML LLC,2015,Business Owner,F&M Bank,Common stock,1270271,100%,1138450
Director/Principal Shareholder,"Gaylon M. Lawrence,Jr.",Owner,Delta Valley & Southern Railway,2015,Business Owner,F&M Bank,Common stock,1270271,100%,1138450
Director/Principal Shareholder,"Gaylon M. Lawrence,Jr.",Owner,G.M. Lawrence and Co.,2015,Business Owner,F&M Bank,Common stock,1270271,100%,1138450
Director/Principal Shareholder,"Gaylon M. Lawrence,Jr.",Owner,"Farmers Bancorp,Inc.",2016,Business Owner,F&M Bank,common stock,1270271,100%,1138450
Director/Principal Shareholder,"Gaylon M. Lawrence,Jr.",Director,Farmers Bank & Trust Co.,2016,Business Owner,F&M Bank,common stock,1270271,100%,1138450
Director/Principal Shareholder,"Gaylon M. Lawrence,Jr.",Owner,Lawrence Land Holdings LLC,2016,Business Owner,F&M Bank,common stock,1270271,100%,1138450
Director/Principal Shareholder,"Gaylon M. Lawrence,Jr.",Owner,Lawrence Corporate Assets LLC,2016,Business Owner,F&M Bank,common stock,1270271,100%,1138450
Director/Principal Shareholder,"Gaylon M. Lawrence,Jr.",Partner,Lawrence Gateway LLC,2016,Business Owner,F&M Bank,common stock,1270271,100%,1138450
Director/Principal Shareholder,"Gaylon M. Lawrence,Jr.",Partner,T&L Lands Inc.,2016,Business Owner,F&M Bank,common stock,1270271,100%,1138450
Director/Principal Shareholder,"Gaylon M. Lawrence,Jr.",Owner,Delta RIM LLC,2016,Business Owner,F&M Bank,common stock,1270271,100%,1138450
Director/Principal Shareholder,"Gaylon M. Lawrence,Jr.",Partner,Delta Leasing LLC,2016,Business Owner,F&M Bank,common stock,1270271,100%,1138450
Director/Principal Shareholder,"Gaylon M. Lawrence,Jr.",Partner,Alliance Investments LLC,2016,Business Owner,F&M Bank,common stock,1270271,100%,1138450
Director/Principal Shareholder,"Gaylon M. Lawrence,Jr.",Partner,GML LLC,2016,Business Owner,F&M Bank,common stock,1270271,100%,1138450
Director/Principal Shareholder,"Gaylon M. Lawrence,Jr.",Owner,Delta Valley & Southern Railway,2016,Business Owner,F&M Bank,common stock,1270271,100%,1138450
Director/Principal Shareholder,"Gaylon M. Lawrence,Jr.",Owner,G.M. Lawrence and Co.,2016,Business Owner,F&M Bank,common stock,1270271,100%,1138450
Director/Principal Shareholder,"Gaylon M. Lawrence,Jr.",Director,First Missouri State Bank,2016,Business Owner,F&M Bank,common stock,1270271,100%,1138450
Director/Principal Shareholder,"Gaylon M. Lawrence,Jr.",Director,First Missouri State Bank of Cape County,2016,Business Owner,F&M Bank,common stock,1270271,100%,1138450
Director/Principal Shareholder,"Gaylon M. Lawrence,Jr.",Owner,FMS Bancorp Inc. Poplar Bluff,2016,Business Owner,F&M Bank,common stock,1270271,100%,1138450
Director/Principal Shareholder,"Gaylon M. Lawrence,Jr.",Owner/Director,Piggott Bankstock Inc.,2016,Business Owner,F&M Bank,common stock,1270271,100%,1138450
Director/Principal Shareholder,"Gaylon M. Lawrence,Jr.",Owner,Piggott State Bank,2016,Business Owner,F&M Bank,common stock,1270271,100%,1138450
Director/Principal Shareholder,"Gaylon M. Lawrence,Jr.",Owner,First Malden Bankshares Inc.,2016,Business Owner,F&M Bank,common stock,1270271,100%,1138450
Director/Principal Shareholder,"Gaylon M. Lawrence,Jr.",Director,First Missouri Bank of SEMO,2016,Business Owner,F&M Bank,common stock,1270271,100%,1138450
Director/Principal Shareholder,"Gaylon M. Lawrence,Jr.",Owner,Western Star Risk Management Corporation,2016,Business Owner,F&M Bank,common stock,1270271,100%,1138450
Director/Principal Shareholder,"Gaylon M. Lawrence,Jr.",Owner,F&M Statutory Trust III,2016,Business Owner,F&M Bank,common stock,1270271,100%,1138450
Director/Principal Shareholder,"Gaylon M. Lawrence,Jr.",Director,Farmsource AG LLC,2016,Business Owner,F&M Bank,common stock,1270271,100%,1138450
Director/Principal Shareholder,"Gaylon M. Lawrence,Jr.",Partner,One Core LLC,2016,Business Owner,F&M Bank,common stock,1270271,100%,1138450
Director/Principal Shareholder,"Gaylon M. Lawrence,Jr.",Director,Lawrence IL Holdings LLC,2016,Business Owner,F&M Bank,common stock,1270271,100%,1138450
Director/Principal Shareholder,"Gaylon M. Lawrence,Jr.",Director,Wilson City Partners LLC,2016,Business Owner,F&M Bank,common stock,1270271,100%,1138450
Director/Principal Shareholder,"Gaylon M. Lawrence,Jr.",Director,Wilson Gardens LLC,2016,Business Owner,F&M Bank,common stock,1270271,100%,1138450
Director/Principal Shareholder,"Gaylon M. Lawrence,Jr.",Director,White House in Wilson LLC,2016,Business Owner,F&M Bank,common stock,1270271,100%,1138450
Director/Principal Shareholder,"Gaylon M. Lawrence,Jr.",Partner,US Air Conditioning LLC,2016,Business Owner,F&M Bank,common stock,1270271,100%,1138450
Director/Principal Shareholder,"Gaylon M. Lawrence,Jr.",Partner,Alliance Air Products LLC,2016,Business Owner,F&M Bank,common stock,1270271,100%,1138450
Director/Principal Shareholder,"Gaylon M. Lawrence,Jr.",Partner,The Chestnut Street,2016,Business Owner,F&M Bank,common stock,1270271,100%,1138450
Director/Principal Shareholder,"Gaylon M. Lawrence,Jr.",Partner,Advanced Incentive Travel,2016,Business Owner,F&M Bank,common stock,1270271,100%,1138450
Director/Principal Shareholder,"Gaylon M. Lawrence,Jr.",Partner,HVAC Website LLC,2016,Business Owner,F&M Bank,common stock,1270271,100%,1138450
Director/Principal Shareholder,"Gaylon M. Lawrence,Jr.",Partner,El Cajon Industrial Properties LLC,2016,Business Owner,F&M Bank,common stock,1270271,100%,1138450
Director/Principal Shareholder,"Gaylon M. Lawrence,Jr.",Partner,Western Industrial Properties LLC,2016,Business Owner,F&M Bank,common stock,1270271,100%,1138450
Director/Principal Shareholder,"Gaylon M. Lawrence,Jr.",Owner,Farmers Storage Inc.,2016,Business Owner,F&M Bank,common stock,1270271,100%,1138450
Director/Principal Shareholder,"Gaylon M. Lawrence,Jr.",Partner,GML-JHH LLC,2016,Business Owner,F&M Bank,common stock,1270271,100%,1138450
Director/Principal Shareholder,"Gaylon M. Lawrence,Jr.",Owner,Agripartners of the South,2016,Business Owner,F&M Bank,common stock,1270271,100%,1138450
Director/Principal Shareholder,"Gaylon M. Lawrence,Jr.",Director,Premier Farms Realty One,2016,Business Owner,F&M Bank,common stock,1270271,100%,1138450
