Bank,Internal Title,Person,Fiscal Year,RSSD_ID,Stock Class,Number of Shares,Percentage of Ownership
"Merchants & Southern Banks of Florida,Inc.",Chairman/CEO,dennis r. o'neil,2014,1082469,common stock,25000,1.0
"Merchants Trust,Inc.",Chairman and Director,grady l. bedwell,2014,,,4389.67,0.1267
"Merchants Trust,Inc.","Vice Chairman,President and Director",joseph l. bedwell,2014,,,3260.10,0.0941
"Merchants Trust,Inc.",Director,"william d. harrigan,iii",2014,,,2641.00,0.0762
Merchants Bank,Chairman and Director,grady l. bedwell,2017,,COMMON STOCK OUTSTANDING,4389.67,0.1267
Merchants Bank,"President,Vice Chairman and Director",joseph l. bedwell,2017,,COMMON STOCK OUTSTANDING,3085.10,0.0891
Merchants Bank,Director,"william d. harrigan,iii",2017,,COMMON STOCK OUTSTANDING,2641.00,0.0762
Merchants Bank,,"merchants bank,employee stock ownership plan",2017,,COMMON STOCK OUTSTANDING,8463.00,0.2443
Merit Holdings LLC,President/CEO,robert hill womble,2019,,,145000,0.0501
Merit Holdings LLC,Director,james chad falciani,2019,,,455000,0.1445
"MetroCity Bankshares,Inc.","Director,Chairman",nack y. paek,2015,,Common stock,835236,0.0727
"MetroCity Bankshares,Inc.","Director,Chairman",nack y. paek,2015,,Options on Common Stock,80000,0.0069
"MetroCity Bankshares,Inc.",Director,feiying lu,2015,,Common stock,911680,0.0794
"MetroCity Bankshares,Inc.","Director,Chairman & CEO",nack y. paek,2016,3437456,Common stock,899788,0.0761
"MetroCity Bankshares,Inc.","Director,Chairman & CEO",nack y. paek,2016,3437456,Options on Common Stock,40000,0.0034000000000000002
"MetroCity Bankshares,Inc.",Director,feiying lu,2016,3437456,Common stock,912680,0.07719999999999999
"MetroCity Bankshares,Inc.","Director,Chairman & CEO",nack y. paek,2017,,Common stock,976553,0.08109999999999999
"MetroCity Bankshares,Inc.",Director,feiying lu,2017,,Common stock,914147,0.0759
"MetroCity Bankshares,Inc.","Director,Chairman & CEO",nack y. paek,2018,,Common stock,1005011,0.08289999999999999
"MetroCity Bankshares,Inc.",Director,feiying lu,2018,,Common stock,914868,0.0754
"MetroCity Bankshares,Inc.",Director,feiying lu,2020,,Common stock,163256,0.0064
"Metropolitan BancGroup,Inc.",Director,michael t. mcree,2014,,,718866,0.09699999999999999
"Metropolitan BancGroup,Inc.",Director,michael t. mcree,2015,3637984,,718866,0.0947
"Metro Bancshares,Inc.",Chairman & CEO,kenneth barber,2014,3650255,common stk,303570,0.12380000000000001
"Metro Bancshares,Inc.",Chairman & CEO,kenneth barber,2014,3650255,common stk warrants,385000,0.13570000000000002
"Metro Bancshares,Inc.",Director,johnny blankenship,2014,3650255,common stk,150000,0.061200000000000004
"Metro Bancshares,Inc.",Director,johnny blankenship,2014,3650255,common stk warrants,150000,0.0576
"Metro Bancshares,Inc.",Director,eric johnson,2014,3650255,common stk,100000,0.0408
"Metro Bancshares,Inc.",Director,eric johnson,2014,3650255,common stk warrants,100000,0.0392
"Metro Bancshares,Inc.",Director,douglas davidson,2014,3650255,common stk,100000,0.0408
"Metro Bancshares,Inc.",Director,douglas davidson,2014,3650255,common stk warrants,100000,0.0392
"Metro Bancshares,Inc.",Director,allen denyse,2014,3650255,common stk,75000,0.030600000000000002
"Metro Bancshares,Inc.",Director,allen denyse,2014,3650255,common stk warrants,75000,0.0297
"MIDSOUTH BANCORP,INC.",Director,leonard q abington,2015,1086654,Common Stock,821980,0.0723
MidSouth Bancorporation,Director,catherine m wilson,2015,929932,common stock,648,0.18
MidSouth Bancorporation,Director,alyson m bagby,2015,929932,common stock,454,0.12
MidSouth Bancorporation,Director,catherine m wilson,2018,929932,common stock,648,0.18
MidSouth Bancorporation,Director,alyson d malone,2018,929932,common stock,454,0.12
MidSouth Bancorporation,Director,catherine m wilson,2020,,common stock,648,0.18
MidSouth Bancorporation,Director,alyson d malone,2020,,common stock,454,0.12
MidSouth Bancorporation,Director,catherine m wilson,2021,929932,common stock,648,0.18
MidSouth Bancorporation,Director,alyson d malone,2021,929932,common stock,454,0.12
MidSouth Bancorporation,Director,catherine m wilson,2022,,common stock,648,0.18
MidSouth Bancorporation,Director,alyson d malone,2022,,common stock,454,0.12
Millennium Bancshares Inc.,Principal Securities Holder,p. byron defoor,2016,4947541,Common Stock,1620498,0.6
Millennium Bank,Principal Securities Holder,p. byron defoor,2017,,Common Stock,1667373,0.62
"MONTICELLO BANCSHARES,INC.",Director,"d. bruce kelly,jr.",2014,2412139,,765,0.0268
"MONTICELLO BANCSHARES,INC.",Trustee,ann r. benton,2016,2412139,,1055,0.037000000000000005
"MONTICELLO BANCSHARES,INC.",Director,"d. bruce kelly,jr.",2019,,,795,0.0278
"MONTICELLO BANCSHARES,INC.",Director,elizabeth ausley wade,2019,,,2320,0.0812
"MONTICELLO BANCSHARES,INC",Director,"d. bruce kelly,jr.",2020,,,795,0.0323
"MONTICELLO BANCSHARES,INC",Director,w. dan roberts,2020,,,1340,0.054400000000000004
"MONTICELLO BANCSHARES,INC",Principal Shareholder,elizabeth ausley wade,2020,,,2320,0.0942
"MONTICELLO BANCSHARES,INC",Director,"d. bruce kelly,jr.",2021,,,795,0.0323
"MONTICELLO BANCSHARES,INC",Director,w. dan roberts,2021,,,1340,0.054400000000000004
Morris State Baneshares,,claire livingston,2014,,,101159,0.057800000000000004
Morris State Baneshares,Director,roger miller,2014,,,94482,0.053899999999999997
"Morris State Bancshares,Inc.",,claire livingston,2015,1417212,,101159,0.0567
"Morris State Bancshares,Inc.",Director Executive Vice President,roger miller,2015,1417212,,94482,0.053
"Morton Bancorp,Inc.",President/Director,martha j. rogers,2014,307 3911,Common Stock,7560.3,0.2094
"Morton Bancorp,Inc.",,"estate of john m. rogers,sr.",2014,307 3911,Common Stock,9027.1,0.25
"Morton Bancorp,Inc.",President/Director,martha j. rogers,2016,3073911,Common Stock,7560.3,0.2094
"Morton Bancorp,Inc.",,"estate of john m. rogers,sr.",2016,3073911,Common Stock,9027.1,0.25
"Morton Bancorp,Inc.",President/Director,martha j. rogers,2017,3073911,Common Stock,7550.3,0.2094
"Morton Bancorp,Inc.",President/Director,martha j. rogers,2018,,Common Stock,7607.8,0.2107
"Morton Bancorp,Inc.",Director,beth rogers,2018,,Common Stock,4508.1,0.12480000000000001
"Morton Bancorp,Inc.",President/Director,martha j. rogers,2019,,Common Stock,7607.8,0.2107
"Morton Bancorp,Inc.",Director,beth rogers,2019,,Common Stock,4508.1,0.12480000000000001
"Morton Bancorp,Inc.",Chairman & CEO / Director,martha j. rogers,2022,,,36095,0.322
"Moundville Bancshares,Inc.",Director & Chairman,madie h. poole,2014,,Common,9036,0.11
"Moundville Bancshares,Inc.",Consultant,victor p. poole,2014,,Common,7199,0.08800000000000001
"Moundville Bancshares,Inc.",Director & Chairman,madie h. poole,2015,2317690,common,9036,0.11
"Moundville Bancshares,Inc.",,victor p. poole,2015,2317690,common,7199,0.08800000000000001
"Moundville Bancshares,Inc.",Director & Chairman,madie h. poole,2016,,,9036,0.11
"Moundville Bancshares,Inc.",Consultant,victor p. poole,2016,,,7199,0.08800000000000001
"Moundville Bancshares,Inc.",N/A - Trust,madie e. howell trust,2016,,,39042,0.47700000000000004
"Moundville Bancshares,Inc.",Director & Chairman,madie h. poole,2017,2317690,Common,9036,0.11
"Moundville Bancshares,Inc.",Consultant,victor p. poole,2017,2317690,Common,7199,0.08800000000000001
Bank of Moundville,Director & Chairman,madie h. poole,2018,2317690,Common,9036,0.11
Bank of Moundville,Consultant,victor p. poole,2018,2317690,Common,7199,0.08800000000000001
"Mountain Commerce Bancorp,Inc.","Vice-Chairman,President & CEO","william e. edwards,iii",2016,,Common Stock,339106,0.058890000000000005
"Mountain Commerce Bancorp,Inc.",Director,s. franklin wood,2016,,Common Stock,1000,0.00017
"Mountain Commerce Bancorp,Inc.","Vice-Chairman,President & CEO","william e. edwards,iii",2017,,Common Stock,321250,0.05359
"Mountain Commerce Bancorp,Inc.",Director,s. franklin wood,2017,,Common Stock,2000,0.00033
"Mountain Commerce Bancorp,Inc.",Director,s. franklin wood,2019,,Common Stock,1250,0.0002
"Mountain Commerce Bancorp,Inc.","Vice-Chairman,President & CEO","william e. edwards,iii",2020,,Common Stock,377530,0.06006
"Mountain Commerce Bancorp,Inc.",Director,s. franklin wood,2020,,Common Stock,2500,0.0004
"Mountain Commerce Bancorp,Inc.",President & CEO,"william e. edwards,ill",2022,1016231,Common Stock,398182,0.06259
"Mountain Commerce Bancorp,Inc.",Director,s. franklin wood,2022,1016231,Common Stock,1750,0.00028000000000000003
"Mountain Commerce Bancorp,Inc.","Vice-Chairman,President & CEO","william e. edwards,iii",2023,1016231,Common Stock,397789,0.06262
"Mountain Commerce Bancorp,Inc.",Director,s. franklin wood,2023,1016231,Common Stock,1750,0.00028000000000000003
"Mountain Valley Bancshares,Inc.",Director & Chairman,"edsel ray black,sr.",2016,,Common Stock,83116,0.049
"MARION BANCSHARES,INC.",Director,geneva blackburn,2014,,,13500,0.11
"Mountain Commerce Bancorp,Inc.","Vice-Chairman,President & CEO","william e. edwards,iii",2015,1016231,Common Stock,289106,0.0738
"THE NASHVILLE HOLDING COMPANY,INC.",CHM BD/CEO,w s perry,2016,,,15986,0.1545
"THE NASHVILLE HOLDING COMPANY,INC.",DIRECTOR,edmond l perry,2016,,,16276,0.0645
"THE NASHVILLE HOLDING COMPANY,INC.",PRINCIPAL,sara amelia parkerson,2016,,,30135,0.1195
"THE NASHVILLE HOLDING COMPANY,INC.",CHM BD/CEO,w s perry,2017,,,38186,0.15130000000000002
"THE NASHVILLE HOLDING COMPANY,INC.",DIRECTOR,edmond l perry,2017,,,16276,0.0645
"THE NASHVILLE HOLDING COMPANY,INC.",,sara amelia parkerson,2017,,,30135,0.1195
THE NASHVILLE HOLDING COMPANY,CHM BD/CEO,w s perry,2018,,,37186,0.1474
THE NASHVILLE HOLDING COMPANY,DIRECTOR,edmond l perry,2018,,,16276,0.0645
THE NASHVILLE HOLDING COMPANY,PRINCIPAL,sara amelia parkerson,2018,,,29535,0.11699999999999999
"NBG BANCORP,INC.",Director,john h. barrett,2014,,Common Stock,208799,0.1502
"NBG BANCORP,INC.",Director,john h. barrett,2015,,Common Stock,208799,0.1491
"NBG BANCORP,INC.",Director,tommy e. warner,2015,,Common Stock,114913,0.0821
NBN Corporation,Director/Vice Chairman,vickie v. valentine,2015,108 5880,Common Stock,8183,0.1938
"NOA Bancorp,Inc.",Director,francis d. kim,2015,4816320,Common Stock,111250,0.0642
"NOA Bancorp,Inc.",Director,young a. sohn,2015,4816320,Common Stock,90750,0.052300000000000006
"NOA Bancorp,Inc.",Director,francis d. kim,2016,,Common Stock,111250,0.0613
"NOA Bancorp,Inc.",Director,young a. sohn,2016,,Common Stock,90750,0.05
"NOA Bancorp,Inc.",Chairman / Director,w. alex choi,2017,,Common Stock,110073,0.0602
"NOA Bancorp,Inc.",Director,francis d. kim,2017,,Common Stock,122250,0.0668
"NOA Bancorp,Inc.",Director,young a. sohn,2017,,Common Stock,131650,0.07200000000000001
"NOA Bancorp,Inc.",Director,w. alex choi,2018,,Common Stock,110073,0.0572
"NOA Bancorp,Inc.",Director,francis d. kim,2018,,Common Stock,122250,0.0635
"NOA Bancorp,Inc.",Director,young a. sohn,2018,,Common Stock,121650,0.0632
"NORTHSIDE BANCSHARES,INC.",Director,donald j. leeper,2017,,Common Stock,15025000,0.5689
"NORTHSIDE BANCSHARES,INC.",Director,donald j. leeper,2017,,Options on Common Stock,23624,0.0009
NorthStar Banking Corporation,Shareholder,"sykes,john",2014,,Common Stock,185000,0.096
NorthStar Banking Corporation,Shareholder,"sykes,john",2014,,Options on Common Stock,12500,0.0058
NorthStar Banking Corporation,Shareholder,"weigel,h. monty",2014,,Common Stock,110000,0.0571
NorthStar Banking Corporation,Shareholder,"sykes,john",2015,,Common Stock,185000,0.096
NorthStar Banking Corporation,Shareholder,"sykes,john",2015,,Options on Common Stock,12500,0.0058
NorthStar Banking Corporation,Shareholder,"weigel,h. monty",2015,,Common Stock,110000,0.0571
"North Alabama Bancshares,Inc.",Director & Chairman,charles e. gleghorn,2014,,Common Stock,34417,0.2065
"North Alabama Bancshares,Inc.",Director,hue counts,2014,,Common Stock,28217,0.1693
"North Alabama Bancshares,Inc.",Shareholder,joe b ferrell,2014,,Common Stock,12859,0.07719999999999999
"North Alabama Bancshares,Inc.",Shareholder,james b ferrell,2014,,Common Stock,12858,0.07719999999999999
"North Alabama Bancshares,Inc.",Director & Chairman,charles e. gleghorn,2015,3711857,Common Stock,34317,0.2059
"North Alabama Bancshares,Inc.",Director,hue counts,2015,3711857,Common Stock,28217,0.1693
"North Alabama Bancshares,Inc.",Shareholder,joe b ferrell,2015,3711857,Common Stock,12859,0.07719999999999999
"North Alabama Bancshares,Inc.",Shareholder,james b ferrell,2015,3711857,Common Stock,12858,0.07719999999999999
"North Alabama Bancshares,Inc.",Director & Chairman,charles e. gleghorn,2016,3711857,Common Stock,34317,0.2059
"North Alabama Bancshares,Inc.",Director,hue counts,2016,3711857,Common Stock,28217,0.1693
"North Alabama Bancshares,Inc.",Shareholder,joe b ferrell,2016,3711857,Common Stock,12859,0.07719999999999999
"North Alabama Bancshares,Inc.",Shareholder,james b ferrell,2016,3711857,Common Stock,12858,0.07719999999999999
"North Alabama Bancshares,Inc.",Director & Chairman,charles e. gleghorn,2017,,Common Stock,34317,0.2059
"North Alabama Bancshares,Inc.",Director,hue counts,2017,,Common Stock,25625,0.0521
"North Alabama Bancshares,Inc.",Director,hue counts,2017,,Common Stock,28217,0.1693
"North Alabama Bancshares,Inc.",Shareholder,joe b ferrell,2017,,Common Stock,12859,0.07719999999999999
"North Alabama Bancshares,Inc.",Shareholder,james b ferrell,2017,,Common Stock,12858,0.07719999999999999
"North Georgia Community Financial Partners,Inc.",Director,"ernest m. acree,jr.",2018,2908650,Common Stock,66150,0.0731
"North Georgia Community Financial Partners,Inc.",Director,"ernest m. acree,jr.",2018,2908650,Options,0,0.0
"North Georgia Community Financial Partners,Inc.",Director,"ernest m. acree,jr.",2018,C.P.A.,Common Stock,66150,0.0731
"North Georgia Community Financial Partners,Inc.",Director,"ernest m. acree,jr.",2018,C.P.A.,Options,0,0.0
"North Georgia Community Financial Partners,Inc.",Director and Chairman,thomas m. kinnamon,2018,2908650,Common Stock,202431,0.2237
"North Georgia Community Financial Partners,Inc.",Director and Chairman,thomas m. kinnamon,2018,2908650,Options,0,0.0
"North Georgia Community Financial Partners,Inc.",,john oxford,2018,2908650,Common Stock,50000,0.0552
"North Georgia Community Financial Partners,Inc.",,john oxford,2018,2908650,Options,0,0.0
"North Georgia Community Financial Partners,Inc.",,john oxford,2018,Secretary / Treasurer,Common Stock,50000,0.0552
"North Georgia Community Financial Partners,Inc.",,john oxford,2018,Secretary / Treasurer,Options,0,0.0
"North Georgia Community Financial Partners,Inc.",Director,"ernest m. acree,jr.",2022,2908650,Common Stock,87250,0.0964
"North Georgia Community Financial Partners,Inc.",Director,"ernest m. acree,jr.",2022,2908650,Options,0,0.0
"North Georgia Community Financial Partners,Inc.",Director and Chairman,thomas m. kinnamon,2022,2908650,Common Stock,201931,0.2231
"North Georgia Community Financial Partners,Inc.",Director and Chairman,thomas m. kinnamon,2022,2908650,Options,0,0.0
"North Georgia Community Financial Partners,Inc.",Director,michael e. jinright,2022,2908650,Common Stock,44820,0.0496
"North Georgia Community Financial Partners,Inc.",Director,michael e. jinright,2022,2908650,Options,0,0.0
"North Georgia Community Financial Partners,Inc.",Director,john oxford,2022,2908650,Common Stock,50000,0.0552
"North Georgia Community Financial Partners,Inc.",Director,john oxford,2022,2908650,Options,0,0.0
"North Georgia Community Financial Partners,Inc.",Director,"ernest m. acree,jr.",2023,,Common Stock,87250,0.0964
"North Georgia Community Financial Partners,Inc.",Director,"ernest m. acree,jr.",2023,,Options,0,0.0
"North Georgia Community Financial Partners,Inc.",,"ernest m. acree,jr.",2023,,Common Stock,87250,0.0964
"North Georgia Community Financial Partners,Inc.",,"ernest m. acree,jr.",2023,,Options,0,0.0
"North Georgia Community Financial Partners,Inc.",Director,michael e. jinright,2023,,Common Stock,47320,0.052300000000000006
"North Georgia Community Financial Partners,Inc.",Director,michael e. jinright,2023,,Options,0,0.0
"North Georgia Community Financial Partners,Inc.",,michael e. jinright,2023,,Common Stock,47320,0.052300000000000006
"North Georgia Community Financial Partners,Inc.",,michael e. jinright,2023,,Options,0,0.0
"North Georgia Community Financial Partners,Inc.",,michael e. jinright,2023,Managing Partner,Common Stock,47320,0.052300000000000006
"North Georgia Community Financial Partners,Inc.",,michael e. jinright,2023,Managing Partner,Options,0,0.0
"North Georgia Community Financial Partners,Inc.",Director and Chairman,thomas m. kinnamon,2023,,Common Stock,201931,0.2231
"North Georgia Community Financial Partners,Inc.",Director and Chairman,thomas m. kinnamon,2023,,Options,0,0.0
"North Georgia Community Financial Partners,Inc.",,thomas m. kinnamon,2023,,Common Stock,201931,0.2231
"North Georgia Community Financial Partners,Inc.",,thomas m. kinnamon,2023,,Options,0,0.0
"North Georgia Community Financial Partners,Inc.",Director,john oxford,2023,,Common Stock,50000,0.0552
"North Georgia Community Financial Partners,Inc.",Director,john oxford,2023,,Options,0,0.0
"North Georgia Community Financial Partners,Inc.",,john oxford,2023,,Common Stock,50000,0.0552
"North Georgia Community Financial Partners,Inc.",,john oxford,2023,,Options,0,0.0
"Oakworth Capital,Inc.",Director & Chairman,"sam e. upchurch,jr.",2014,,Common Stock,101428,0.026000000000000002
"Oakworth Capital,Inc.",Director & Chairman,"sam e. upchurch,jr.",2014,,"Options,Warrants","& Restricted Shares,198155",0.0508
"Oakworth Capital,Inc.",Director,matthew g. mead,2014,,Common Stock,180000,0.0482
"Oakworth Capital,Inc.",Director,matthew g. mead,2014,,Warrants,25000,0.0067
"Oakworth Capital,Inc.",Director,robert a. reed,2014,"LLC,n/a",Common Stock,113644,0.0302
"Oakworth Capital,Inc.",Director,robert a. reed,2014,"LLC,n/a",Warrants,55000,0.0146
"Oakworth Capital,Inc.",Director & Chairman,"sam e. upchurch,jr.",2015,,Common Stock,102856,0.0252
"Oakworth Capital,Inc.",Director & Chairman,"sam e. upchurch,jr.",2015,,Options,202727,0.0496
"Oakworth Capital,Inc.",Director & Chairman,"sam e. upchurch,jr.",2015,,"Warrants,& Restricted Shares",,0.0767
"Oakworth Capital,Inc.",Director,matthew g. mead,2015,,Common Stock,180000,0.046
"Oakworth Capital,Inc.",Director,matthew g. mead,2015,,Warrants,25000,0.0064
"Oakworth Capital,Inc.",Director,robert a. reed,2015,"LLC,n/a",Common Stock,113644,0.0288
"Oakworth Capital,Inc.",Director,robert a. reed,2015,"LLC,n/a",Warrants,55000,0.013999999999999999
"Oakworth Capital,Inc.",Director & Chairman,"sam e. upchurch,jr.",2017,,Common Stock,105712,0.024700000000000003
"Oakworth Capital,Inc.",Director & Chairman,"sam e. upchurch,jr.",2017,,"Options,Warrants","& Restricted Shares on Common Stock,215871",0.050499999999999996
"Oakworth Capital,Inc.",Director,robert a. reed,2017,"LLC,n/a",Common Stock,113644,0.0276
"Oakworth Capital,Inc.",Director,robert a. reed,2017,"LLC,n/a",Warrants on Common Stock,55000,0.0134
"Oakworth Capital,Inc.",Director & Chairman,"sam e. upchurch,jr.",2018,,Common Stock,228616,0.048
"Oakworth Capital,Inc.",Director & Chairman,"sam e. upchurch,jr.",2018,,Options,78429,0.0165
"Oakworth Capital,Inc.",Director & Chairman,"sam e. upchurch,jr.",2018,,Restricted Shares,78429,0.0165
"Oakworth Capital,Inc.",Director,robert a. reed,2018,,Common Stock,153068,0.0326
"Oakworth Capital,Inc.",Director,robert a. reed,2018,,Options,15715,0.0034000000000000002
"Oakworth Capital,Inc.",Director & Chairman,"sam e. upchurch,jr.",2019,,Common Stock,229552,0.0478
"Oakworth Capital,Inc.",Director & Chairman,"sam e. upchurch,jr.",2019,,Options & Restricted Shares on Common Stock,89000,0.018500000000000003
"Oakworth Capital,Inc.",Director,robert a. reed,2019,"LLC,n/a",Common Stock,153068,0.032400000000000005
"Oakworth Capital,Inc.",Director,robert a. reed,2019,"LLC,n/a",Options on Common Stock,15715,0.0033
"Oakworth Capital,Inc.","Director,Chairman Emeritus","sam e. upchurch,jr.",2021,,Common Stock,235430,0.0478
"Oakworth Capital,Inc.","Director,Chairman Emeritus","sam e. upchurch,jr.",2021,,Options on Common Stock,112571,0.0229
"Oakworth Capital,Inc.",Director,robert a. reed,2021,"LLC,n/a",Common Stock,155568,0.0322
"Oakworth Capital,Inc.",Director,robert a. reed,2021,"LLC,n/a",Options on Common Stock,15715,0.0033
"Oakworth Capital,Inc.",Director,robert a. reed,2023,"LLC,n/a",Common Stock,227400,0.04650000000000001
"Oakworth Capital,Inc.",Director,robert a. reed,2023,"LLC,n/a",Options on Common Stock,15945,0.0033
Oculina Banc Corp,Director & Chairman & President,jeffrey a. maffett,2015,,Common Stock,1027066,0.6559
Oculina Banc Corp,Chairman & President,jeffrey a. maffett,2016,,Common Stock,1074866,0.6227
Oculina Banc Corp,Chairman & President,jeffrey a. maffett,2018,,Common Stock,1100000,0.6373
One American Corp.,President & CEO;Director,ronald j. falgoust,2021,,Common Stock,3220,0.0016
One American Corp.,President,j. b. falgoust,2021,,Common Stock,59228,0.028900000000000002
One American Corp.,President & CEO Director,ronald j. falgoust,2022,,Common Stock,3220,0.0016
One American Corp.,President & CEO Director,ronald j. falgoust,2023,,Common Stock,3220,0.0016
One American Corp.,Vice President Secretary to the Board Director,rose mary falgoust delaune,2023,,Common Stock,2100,0.001
"OptimumBank Holdings,Inc.",Director,moishe gubin,2014,,common stock,769340,0.081
OptimumBank Holdings Inc.,Chairman of the Board,moishe gubin,2015,3251661,common stock,884977,0.0919
OptimumBank Holdings Inc.,CEO,moishe gubin,2016,,common stock,71387,0.0647
OptimumBank Holdings Inc,"Director,Chairman of the Board",moishe gubin,2016,2953418,common stock,71387,0.0647
OptimumBank Holdings Inc.,"Chairman of the Board,Director",moishe gubin,2020,,common stock,291201,0.0909
OptimumBank Holdings Inc.,Director,chan heng fai ambrose,2020,,common stock,113623,0.0355
OptimumBank Holdings Inc.,Director,chan heng fai ambrose,2020,Investor,common stock,113623,0.0355
"Ovation Holdings,Inc.",,resilience fund ii annex lp,2015,,common stock,299000,0.0885
"Overton Financial Services,Inc.",President/ Director,joyce windle,2016,2854092,Common,5110,0.66
"Overton Financial Services,Inc.",Chairman/Director,tom windle,2017,,Common,467,0.053399999999999996
Overton Financial Services Inc,Chairman/Director,tom windle,2020,,Common Stock,958,0.1405
Overton Financial Services Inc,Chairman/Director,tom windle,2021,,common,958,0.1405
"Paradise Bancorp,Inc.",Director Chairman of the Board,ward kellogg,2023,,,74542,0.0513
"Paradise Bancorp,Inc.","Director Vice Chairman President,COO",william burke,2023,,,86936,0.0304
"Paradise Bancorp,Inc.",Director Trustee,william burke,2023,,,86936,0.0304
"Paradise Bancorp,Inc.","Chairman,CEO",ward kellogg,2017,,Common Stock,148585,0.0513
"Paradise Bancorp,Inc.","President,COO",william burke,2017,,Common Stock,96936,0.0836
"Paradise Bancorp,Inc.","Chairman,CEO",ward kellogg,2018,,Common Stock,148585,0.0513
"Paradise Bancorp,Inc.","President,COO",william burke,2018,,Common Stock,96936,0.0836
"PARADISE BANCORP,INC.",Director,ward kellogg,2021,,,74542,0.0513
"PARADISE BANCORP,INC.",Chairman of the Board,william burke,2021,,,92936,0.0836
"PARADISE BANCORP,INC.",Director,allen d. mcgee,2021,,,203089,0.050300000000000004
"PARADISE BANCORP,INC.","Chairman,CEO; Director; Chairman of the Board",ward kellogg,2022,,,74542,0.0513
"PARADISE BANCORP,INC.","Vice Chairman; President,COO; Director",william burke,2022,,,203089,0.050300000000000004
"PARADISE BANCORP,INC.",Director,allen d. mcgee,2022,,,88936,0.0304
"Patterson Bankshares,Inc.","Director,Holding Company","barnard,j.p. jr.",2014,1137202,Common Stock,11938,0.08560000000000001
"Patterson Bankshares,Inc.",,"barnard,j.p. jr.",2014,1137202,Common Stock,11938,0.08560000000000001
"Patterson Bankshares,Inc.","Director,Holding Company","barnard,j.p. jr.",2016,1137202,Common Stock,11938,0.08560000000000001
"Patterson Bankshares,Inc.","Director,Bank","barnard,j.p. jr.",2016,1137202,Common Stock,11938,0.08560000000000001
"Patterson Bankshares,Inc.",,"barnard,j.p. jr.",2016,1137202,Common Stock,11938,0.08560000000000001
"Patterson Bancshares,Inc.",Director & Chairman Emeritus,robert d. watson,2014,85931,Common Stock,72262,0.31120000000000003
"Patterson Bancshares,Inc.","Director & Chairman,Executive V.P.","william r. marin,jr.",2014,85931,Common Stock,37875,0.1631
"Patterson Bancshares,Inc.",Director & President,peter j. lipari,2014,85931,Common Stock,21800,0.09390000000000001
"Patterson Bancshares,Inc.",Director & Chairman Emeritus,robert d. watson,2015,85931,Common Stock,72262,0.31120000000000003
"Patterson Bancshares,Inc.","Director & Chairman,Executive V.P.","william r. marin,jr.",2015,85931,Common Stock,37875,0.1631
"Patterson Bancshares,Inc.",Director & President,peter j. lipari,2015,85931,Common Stock,21800,0.09390000000000001
"Patterson Bancshares,Inc.",Director & Chairman Emeritus,robert d. watson,2017,85931,Common Stock,71262,0.33630000000000004
"Patterson Bancshares,Inc.","Director & Chairman,Executive V.P.","william r. marin,jr.",2017,85931,Common Stock,37875,0.1787
"Patterson Bancshares,Inc.",Director & President,peter j. lipari,2017,85931,Common Stock,21800,0.10289999999999999
"Patterson Bancshares,Inc.",Director & Chairman Emeritus,robert d. watson,2019,85931,Common Stock,72262,0.34590000000000004
"Patterson Bancshares,Inc.","Director & Chairman,Executive V.P.","william r. marin,jr.",2019,85931,Common Stock,37875,0.1813
"Patterson Bancshares,Inc.",Director & President,peter j. lipari,2019,85931,Common Stock,21800,0.10439999999999999
"Patterson Bancshares,Inc.",Director & Chairman Emeritus,robert d. watson,2020,,Common Stock,72262,0.35159999999999997
"Patterson Bancshares,Inc.","Director & Chairman,Executive V.P.","william r. marin,jr.",2020,,Common Stock,37875,0.1843
"Patterson Bancshares,Inc.",Director & President,peter j. lipari,2020,,Common Stock,21800,0.1061
"Patterson Bancshares,Inc.",Director & Chairman Emeritus,robert d. watson,2021,85931,Common Stock,72262,0.35159999999999997
"Patterson Bancshares,Inc.","Director & Chairman,Executive V.P.","william r. marin,jr.",2021,85931,Common Stock,37875,0.1843
"Patterson Bancshares,Inc.",Director & President Emertius,peter j. lipari,2021,85931,Common Stock,21800,0.1061
"Patterson Bancshares,Inc.",Director & Chairman Emeritus,robert d. watson,2022,,Common Stock,72262,0.3554
"Patterson Bancshares,Inc.","Director & Chairman,Executive V.P.","william r. marin,jr.",2022,,Common Stock,37875,0.1863
"Patterson Bancshares,Inc.",Director & President Emertius,peter j. lipari,2022,,Common Stock,21800,0.1072
"Patterson Bancshares,Inc.",President & Director,jason h. watson,2023,,,19640,0.12
"Patterson Bancshares,Inc.",Director,guyton nowell,2023,,,34254,0.2095
"Patterson Bancshares,Inc.",Director,william c. gussman,2023,,,13702,0.08380000000000001
"Patterson Bancshares,Inc.",Director,carol b. gussman,2023,,,13702,0.08380000000000001
"PBC Bancshares,Inc.",Director & Chairman,charles j. yates,2016,1839421,Common,2278.00,0.1519
"PBD Holdings,LLC",Principal Securities Holder,"pbd holdings,llc",2020,,Common Stock,3472056,0.74
"PBD Holdings,LLC",Principal Securities Holder,"pbd holdings,llc",2020,,Common Stock,17971603,0.57
AB&T Financial Corporation,Principal Securities Holder,"pbd holdings,llc",2020,,Common Stock,3472056,0.74
AB&T Financial Corporation,Principal Securities Holder,"pbd holdings,llc",2020,,Common Stock,17971603,0.57
"PBD Holdings,LLC",Principal Securities Holder,"pbd holdings,llc",2021,,Common Stock,3472056,0.74
