Internal Title,Person,Fiscal Year,Bank_y,Stock Class,Number of Shares,Percentage of Ownership,RSSD_ID_y
Director and 1st Vice-Chairman,Samuel F. Johnson,2018,"First Vernon Bancshares,Inc.",common,10270,17.79%,
Director and 1st Vice-Chairman,Samuel F. Johnson,2018,"First Vernon Bancshares,Inc.",common,23784,41.21%,
Director and 1st Vice-Chairman,Samuel F. Johnson,2018,"First Vernon Bancshares,Inc.",common,10270,17.79%,
1st Vice-Chairman,Samuel F. Johnson,2022,"First Vernon Bancshares,Inc.",common stock,23784,38%,
2nd Vice-Chairman,Rebecca L. Johnson,2022,"First Vernon Bancshares,Inc.",common stock,1506,2%,
Chairman,Samuel A. Johnson,2022,"First Vernon Bancshares,Inc.",common stock,790,1%,
,"MarAnd,LTD - Rebecca L. Johnson (General Partner)",2022,"First Vernon Bancshares,Inc.",common stock,9000,14%,
,Johnson's Children Trust - Samuel F Johnson (Trustee),2022,"First Vernon Bancshares,Inc.",common stock,7235,11%,
,Marsha Granen,2022,"First Vernon Bancshares,Inc.",common stock,777,1%,
"Director,First Volunteer Bank","Anderson,Doralynn G.",2014,First Volunteer Corporation,,76023,15.22%,1081716
"Chairman of the Board,First Volunteer Bank","Anderson,Robert R.",2014,First Volunteer Corporation,,76023,15.22%,1081716
Principal Shareholder,"Bartley,Maria",2014,First Volunteer Corporation,,33631,6.73%,1081716
"Director,First Volunteer Bank","Anderson,Doralynn G.",2015,First Volunteer Corporation,,76023,15.22%,
"Chairman of the Board,First Volunteer Corporation","Anderson,Robert R.",2015,First Volunteer Corporation,,76023,15.22%,
Principal Shareholder,"Anderson,Robert R.",2015,First Volunteer Corporation,,76023,15.22%,
Principal Shareholder,"Bartley,Maria",2015,First Volunteer Corporation,,33631,6.73%,
Principal Shareholder,"Mosteller,Michelle",2015,First Volunteer Corporation,,33631,6.73%,
"Director,First Volunteer Corporation","Anderson,Doralynn G.",2016,First Volunteer Corporation,,76023,15.22%,
"Chairman of the Board,First Volunteer Corporation","Anderson,Robert R.",2016,First Volunteer Corporation,,76023,15.22%,
Principal Shareholder,"Bartley,Maria",2016,First Volunteer Corporation,,33631,6.73%,
Principal Shareholder,"Mosteller,Michelle",2016,First Volunteer Corporation,,33631,6.73%,
"Director,First Volunteer Corporation","Anderson,Doralynn G.",2017,First Volunteer Bank,,76113,15.24%,
"Chairman of the Board,First Volunteer Corporation","Anderson,Robert R.",2017,First Volunteer Bank,,76113,15.24%,
Principal Shareholder,"Bartley,Maria",2017,First Volunteer Bank,,33631,6.73%,
Principal Shareholder,"Mosteller,Michelle",2017,First Volunteer Bank,,33631,6.73%,
"Director,First Volunteer Corporation","Anderson,Doralynn G.",2018,First Volunteer Corporation,,76203,15.26%,234739
"Chairman of the Board,First Volunteer Corporation","Anderson,Robert R.",2018,First Volunteer Corporation,,76203,15.26%,234739
Principal Shareholder,"Bartley,Maria",2018,First Volunteer Corporation,,33631,6.73%,234739
Principal Shareholder,"Bartley,Maria",2019,First Volunteer Bank,,33631,6.73%,
Principal Shareholder,"Mosteller,Michelle",2019,First Volunteer Bank,,33631,6.73%,
President/Director,Ronald Y Schram,2015,Flagler Bancshares Corporation,Common,525218,21.35%,4899967
Director,Frank Hessel,2015,Flagler Bancshares Corporation,Common,525217,21.35%,4899967
Director,Arnold Lampert,2015,Flagler Bancshares Corporation,Common,166666,6.78%,4899967
Pres/Director,Ronald Y. Schram,2016,Flagler Bank,COMMON,525218,21.35%,4899967
Pres/Director,Ronald Y. Schram,2016,Flagler Bank,OPTIONS,25000,,4899967
Director,Frank Hessel,2016,Flagler Bank,COMMON,525217,21.35%,4899967
Director,Frank Hessel,2016,Flagler Bank,OPTIONS,10000,,4899967
Pres/Director,Ronald Y. Schram,2017,Flagler Bank,common,560218,22.34%,4899967
Director,Frank Hessel,2017,Flagler Bank,common,535217,21.34%,4899967
Director,Frank Hessel,2018,Flagler Bank,COMMON,535217,21.43%,
Director,Frank Hessel,2018,Flagler Bank,OPTIONS,10000,,
Director,Frank Hessel,2020,Flagler Bank,common,535217,21.30%,
Director,Frank Hessel 2008 Trust,2022,Flagler Bancshares Corporation,common,535217,21.18%,
Director of Holding Co. and Subsidiary Bank,Jim Boyd,2014,"Flint Community Bancshares,Inc.",,97900,8.42%,3341656.
Director of Holding Co. and Subsidiary Bank,Jim Boyd,2014,"Flint Community Bancshares,Inc.",,60000,,3341656.
Director of Holding Co. and Subsidiary Bank,Jim Boyd,2014,"Flint Community Bancshares,Inc.",,97900,8.42%,3341656.
Director of Holding Co. and Subsidiary Bank,Jim Boyd,2014,"Flint Community Bancshares,Inc.",,60000,,3341656.
Director of Holding Co. and Subsidiary Bank,Jim Boyd,2014,"Flint Community Bancshares,Inc.",,97900,8.42%,3341656.
Director of Holding Co. and Subsidiary Bank,Jim Boyd,2014,"Flint Community Bancshares,Inc.",,60000,,3341656.
Director of Holding Co. and Subsidiary Bank,Wayne Damron,2014,"Flint Community Bancshares,Inc.",,67500,5.81%,3341656.
Director of Holding Co. and Subsidiary Bank,Wayne Damron,2014,"Flint Community Bancshares,Inc.",,60000,,3341656.
Director of Holding Co. and Subsidiary Bank,Henry H. Griffin,2014,"Flint Community Bancshares,Inc.",,164150,14.12%,3341656.
Director of Holding Co. and Subsidiary Bank,Henry H. Griffin,2014,"Flint Community Bancshares,Inc.",,114400,,3341656.
Director of Holding Co. and Subsidiary Bank,Henry H. Griffin,2014,"Flint Community Bancshares,Inc.",,164150,14.12%,3341656.
Director of Holding Co. and Subsidiary Bank,Henry H. Griffin,2014,"Flint Community Bancshares,Inc.",,114400,,3341656.
Director of Holding Co. and Subsidiary Bank,Henry H. Griffin,2014,"Flint Community Bancshares,Inc.",,164150,14.12%,3341656.
Director of Holding Co. and Subsidiary Bank,Henry H. Griffin,2014,"Flint Community Bancshares,Inc.",,114400,,3341656.
Director of Holding Co. and Subsidiary Bank,Henry H. Griffin,2014,"Flint Community Bancshares,Inc.",,164150,14.12%,3341656.
Director of Holding Co. and Subsidiary Bank,Henry H. Griffin,2014,"Flint Community Bancshares,Inc.",,114400,,3341656.
Director of Holding Co. and Subsidiary Bank,Henry H. Griffin,2014,"Flint Community Bancshares,Inc.",,164150,14.12%,3341656.
Director of Holding Co. and Subsidiary Bank,Henry H. Griffin,2014,"Flint Community Bancshares,Inc.",,114400,,3341656.
Director of Holding Co. and Subsidiary Bank,Henry H. Griffin,2014,"Flint Community Bancshares,Inc.",,164150,14.12%,3341656.
Director of Holding Co. and Subsidiary Bank,Henry H. Griffin,2014,"Flint Community Bancshares,Inc.",,114400,,3341656.
Director of Holding Co. and Subsidiary Bank,Henry H. Griffin,2014,"Flint Community Bancshares,Inc.",,164150,14.12%,3341656.
Director of Holding Co. and Subsidiary Bank,Henry H. Griffin,2014,"Flint Community Bancshares,Inc.",,114400,,3341656.
Director of Holding Co. and Subsidiary Bank,Jim Boyd,2018,"Flint Community Bancshares,Inc.",,156900,12.24%,
Director of Holding Co. and Subsidiary Bank,Jim Boyd,2018,"Flint Community Bancshares,Inc.",,156900,12.24%,
Director of Holding Co. and Subsidiary Bank,Jim Boyd,2018,"Flint Community Bancshares,Inc.",,156900,12.24%,
Director of Holding Co. and Subsidiary Bank,Wayne Damron,2018,"Flint Community Bancshares,Inc.",,126500,9.87%,
Director of Holding Co.,Henry H. Griffin,2018,"Flint Community Bancshares,Inc.",,274150,21.39%,
Director of Holding Co.,Henry H. Griffin,2018,"Flint Community Bancshares,Inc.",,274150,21.39%,
Director of Holding Co.,Henry H. Griffin,2018,"Flint Community Bancshares,Inc.",,274150,21.39%,
Director of Holding Co.,Henry H. Griffin,2018,"Flint Community Bancshares,Inc.",,274150,21.39%,
Director of Holding Co.,Henry H. Griffin,2018,"Flint Community Bancshares,Inc.",,274150,21.39%,
Director of Holding Co.,Henry H. Griffin,2018,"Flint Community Bancshares,Inc.",,274150,21.39%,
Director of Holding Co. and Subsidiary Bank,Jim Boyd,2020,"Flint Community Bancshares,Inc.",,165750,12.93%,
Director of Holding Co. and Subsidiary Bank,Jim Boyd,2020,"Flint Community Bancshares,Inc.",,165750,12.93%,
Director of Holding Co. and Subsidiary Bank,Jim Boyd,2020,"Flint Community Bancshares,Inc.",,165750,12.93%,
Director of Holding Co. and Subsidiary Bank,Wayne Damron,2020,"Flint Community Bancshares,Inc.",,116500,9.09%,
Director of Holding Co.,Henry H. Griffin,2020,"Flint Community Bancshares,Inc.",,283000,22.07%,
Director of Holding Co.,Henry H. Griffin,2020,"Flint Community Bancshares,Inc.",,283000,22.07%,
Director of Holding Co.,Henry H. Griffin,2020,"Flint Community Bancshares,Inc.",,283000,22.07%,
Director of Holding Co.,Henry H. Griffin,2020,"Flint Community Bancshares,Inc.",,283000,22.07%,
Director of Holding Co.,Henry H. Griffin,2020,"Flint Community Bancshares,Inc.",,283000,22.07%,
Director of Holding Co and Subsidiary Bank,Jim Boyd,2021,"Flint Community Bancshares,Inc.",,165750,12.93%,
Director of Holding Co and Subsidiary Bank,Jim Boyd,2021,"Flint Community Bancshares,Inc.",,165750,12.93%,
Director of Holding Co and Subsidiary Bank,Jim Boyd,2021,"Flint Community Bancshares,Inc.",,165750,12.93%,
Director of Holding Co. and Subsidiary Bank,Wayne Damron,2021,"Flint Community Bancshares,Inc.",,116500,9.09%,
Director of Holding Co.,Henry H. Griffin,2021,"Flint Community Bancshares,Inc.",,283000,22.07%,
Director of Holding Co.,Henry H. Griffin,2021,"Flint Community Bancshares,Inc.",,283000,22.07%,
Director of Holding Co.,Henry H. Griffin,2021,"Flint Community Bancshares,Inc.",,283000,22.07%,
Director of Holding Co.,Henry H. Griffin,2021,"Flint Community Bancshares,Inc.",,283000,22.07%,
Director of Holding Co.,Henry H. Griffin,2021,"Flint Community Bancshares,Inc.",,283000,22.07%,
Director of Holding Co.,Henry H. Griffin,2021,"Flint Community Bancshares,Inc.",,283000,22.07%,
Director and CEO,M. Scott Tomlinson,12/31/24,"Flint Community Bancshares,Inc.",Common Stock,10473,9.33%,
Director and CEO,M. Scott Tomlinson,12/31/24,"Flint Community Bancshares,Inc.",Class A non-voting shares,3026,2.69%,
Director,"William J. Gray,Jr.",12/31/24,"Flint Community Bancshares,Inc.",Common Stock,16531,14.73%,
Director,"William J. Gray,Jr.",12/31/24,"Flint Community Bancshares,Inc.",Class A Voting Shares,598,0.53%,
Director,"William J. Gray,Jr.",12/31/24,"Flint Community Bancshares,Inc.",Class A non-voting shares,6970,6.21%,
Director,Michael M. Murrah,12/31/24,"Flint Community Bancshares,Inc.",Common Stock,10220,9.11%,
Director,Michael M. Murrah,12/31/24,"Flint Community Bancshares,Inc.",Class A non-voting shares,3026,2.69%,
Director,"Harry N. Blount,III",12/31/24,"Flint Community Bancshares,Inc.",Common Stock,6892,6.14%,
Director,"Harry N. Blount,III",12/31/24,"Flint Community Bancshares,Inc.",Class A non-voting shares,1586,1.41%,
Director,Elizabeth C. Newsome,12/31/24,"Flint Community Bancshares,Inc.",Common Stock,6619,5.90%,
Director,Elizabeth C. Newsome,12/31/24,"Flint Community Bancshares,Inc.",Class A non-voting shares,1586,1.41%,
Director,J. Wade Mitchell,12/31/24,"Flint Community Bancshares,Inc.",Common Stock,6619,5.90%,
Director,J. Wade Mitchell,12/31/24,"Flint Community Bancshares,Inc.",Class A non-voting shares,1586,1.41%,
Director,Edward J. Newsome,12/31/24,"Flint Community Bancshares,Inc.",Common Stock,8919,7.94%,
Director,Edward J. Newsome,12/31/24,"Flint Community Bancshares,Inc.",Class A non-voting shares,1586,1.41%,
,Wellington Partners,2014,"FLORIDA BUSINESS BANCGROUP,INC.",common,718000,11.41%,
,Wellington Partners,2014,"FLORIDA BUSINESS BANCGROUP,INC.",warrants,143600,11.41%,
Director,"W. Andrew Krusen,Jr.",2015,"Florida Capital Group,Inc.",Common Stock,43839903,7.10%,3223828
Officer & Director,"W. Andrew Krusen,Jr.",2015,"Florida Capital Group,Inc.",Common Stock,43839903,7.10%,3223828
Partner,"W. Andrew Krusen,Jr.",2015,"Florida Capital Group,Inc.",Common Stock,43839903,7.10%,3223828
Managing Member,"W. Andrew Krusen,Jr.",2015,"Florida Capital Group,Inc.",Common Stock,43839903,7.10%,3223828
Member,"W. Andrew Krusen,Jr.",2015,"Florida Capital Group,Inc.",Common Stock,43839903,7.10%,3223828
Director,"W. Andrew Krusen,Jr.",2016,"Florida Capital Group,Inc.",Common Stock,43839903,7.11%,
Director,"W. Andrew Krusen,Jr.",2016,"Florida Capital Group,Inc.",Common Stock,43839903,7.11%,
Director,"W. Andrew Krusen,Jr.",2016,"Florida Capital Group,Inc.",Common Stock,43839903,7.11%,
Chairman of the Board,"W. Andrew Krusen,Jr.",2019,"Florida Capital Group,Inc.",Common Stock,43889903,7.11%,
Chairman of the Board,"W. Andrew Krusen,Jr.",2019,"Florida Capital Group,Inc.",Common Stock,43889903,7.11%,
Chairman of the Board,"W. Andrew Krusen,Jr.",2019,"Florida Capital Group,Inc.",Common Stock,43889903,7.11%,
Chairman of the Board,"W. Andrew Krusen,Jr.",2019,"Florida Capital Group,Inc.",Common Stock,43889903,7.11%,
Chairman of the Board,"W. Andrew Krusen,Jr.",2019,"Florida Capital Group,Inc.",Common Stock,43889903,7.11%,
Chairman of the Board,"W. Andrew Krusen,Jr.",2019,"Florida Capital Group,Inc.",Common Stock,43889903,7.11%,
Chairman of the Board,"W. Andrew Krusen,Jr.",2019,"Florida Capital Group,Inc.",Common Stock,43889903,7.11%,
Chairman of the Board,"W. Andrew Krusen,Jr.",2019,"Florida Capital Group,Inc.",Common Stock,43889903,7.11%,
Chairman of the Board,"W. Andrew Krusen,Jr.",2019,"Florida Capital Group,Inc.",Common Stock,43889903,7.11%,
Chairman of the Board,"W. Andrew Krusen,Jr.",2019,"Florida Capital Group,Inc.",Common Stock,43889903,7.11%,
Chairman of the Board,"W. Andrew Krusen,Jr.",2019,"Florida Capital Group,Inc.",Common Stock,43889903,7.11%,
Managing Member,"W. Andrew Krusen,Jr.",2019,"Florida Capital Group,Inc.",Common Stock,43889903,7.11%,
Managing Member,"W. Andrew Krusen,Jr.",2019,"Florida Capital Group,Inc.",Common Stock,43889903,7.11%,
Chairman of the Board,"W. Andrew Krusen,Jr.",2021,"Florida Capital Group,Inc.",Common Stock,43912631,7.12%,
Chairman of the Board,"W. Andrew Krusen,Jr.",2021,"Florida Capital Group,Inc.",Common Stock,43912631,7.12%,
Chairman of the Board,"W. Andrew Krusen,Jr.",2021,"Florida Capital Group,Inc.",Common Stock,43912631,7.12%,
Chairman of the Board,"W. Andrew Krusen,Jr.",2021,"Florida Capital Group,Inc.",Common Stock,43912631,7.12%,
Chairman of the Board,"W. Andrew Krusen,Jr.",2021,"Florida Capital Group,Inc.",Common Stock,43912631,7.12%,
Chairman of the Board,"W. Andrew Krusen,Jr.",2021,"Florida Capital Group,Inc.",Common Stock,43912631,7.12%,
Chairman of the Board,"W. Andrew Krusen,Jr.",2021,"Florida Capital Group,Inc.",Common Stock,43912631,7.12%,
Chairman of the Board,"W. Andrew Krusen,Jr.",2021,"Florida Capital Group,Inc.",Common Stock,43912631,7.12%,
Chairman of the Board,"W. Andrew Krusen,Jr.",2021,"Florida Capital Group,Inc.",Common Stock,43912631,7.12%,
Chairman of the Board,"W. Andrew Krusen,Jr.",2021,"Florida Capital Group,Inc.",Common Stock,43912631,7.12%,
Chairman of the Board,"W. Andrew Krusen,Jr.",2021,"Florida Capital Group,Inc.",Common Stock,43912631,7.12%,
Chairman of the Board,"W. Andrew Krusen,Jr.",2021,"Florida Capital Group,Inc.",Common Stock,43912631,7.12%,
Chairman of the Board,"W. Andrew Krusen,Jr.",2021,"Florida Capital Group,Inc.",Common Stock,43912631,7.12%,
Chairman of the Board,"W. Andrew Krusen,Jr.",2021,"Florida Capital Group,Inc.",Common Stock,43912631,7.12%,
Chairman of the Board,"W. Andrew Krusen,Jr.",2023,"Florida Capital Group,Inc.",Common Stock,44039411,7.14%,
Chairman of the Board,"W. Andrew Krusen,Jr.",2023,"Florida Capital Group,Inc.",Common Stock,44039411,7.14%,
Chairman of the Board,"W. Andrew Krusen,Jr.",2023,"Florida Capital Group,Inc.",Common Stock,44039411,7.14%,
Chairman of the Board,"W. Andrew Krusen,Jr.",2023,"Florida Capital Group,Inc.",Common Stock,44039411,7.14%,
Chairman of the Board,"W. Andrew Krusen,Jr.",2023,"Florida Capital Group,Inc.",Common Stock,44039411,7.14%,
Director,C. Neal Anderson,2016,"Florida Community Bankshares,Inc.",Common,62083,5.75%,2901005
Director,C. Neal Anderson,2016,"Florida Community Bankshares,Inc.",Common,62083,5.75%,2901005
Director,C. Neal Anderson,2016,"Florida Community Bankshares,Inc.",Common,62083,5.75%,2901005
Director,Kenneth E. Ellenberg,2016,"Florida Community Bankshares,Inc.",Common,86233,7.98%,2901005
Director,Harvey Sorkin,2015,"Floridian Community Holdings,Inc.",,332000,6.45%,3203884
Director,Harvey Sorkin,2015,"Floridian Community Holdings,Inc.",,332000,6.45%,3203884
Director,C. Neal Anderson,2018,"Florida Community Bankshares,Inc.",Common,62083,5.76%,
Director,Kenneth E. Ellenberg,2018,"Florida Community Bankshares,Inc.",Common,86233,8.01%,
Director/Treasurer,Edward H. Carraway,2014,FMB Banking Corporation,Common Stock,48249,12.30%,
Chairman,"F. Wilson Carraway,III",2014,FMB Banking Corporation,Common Stock,46956,12.01%,
,FMB Banking Corporation Employee Stock Ownership Plan w/401K Provisions,2014,FMB Banking Corporation,Common Stock,52797,13.51%,
,Renee Carraway Taylor,2014,FMB Banking Corporation,Common Stock,45945,11.76%,
,Elisabeth L. Carraway Neilson,2014,FMB Banking Corporation,Common Stock,44626,11.42%,
Director/Treasurer,Edward H. Carraway,2016,FMB Banking Corporation,Common Stock,48249,12.30%,
Director,"F. Wilson Carraway,III",2016,FMB Banking Corporation,Common Stock,46956,12.01%,
,FMB Banking Corporation Employee Stock Ownership Plan w/401K Provisions,2016,FMB Banking Corporation,Common Stock,52997,13.56%,
,Renee Carraway Taylor,2016,FMB Banking Corporation,Common Stock,45945,11.76%,
,Elisabeth L. Carraway Neilson,2016,FMB Banking Corporation,Common Stock,44626,11.42%,
Director,Leonard H. Blount,2015,"FMB Equibanc,Inc.",common stock,150000,6.05%,
Director,Leonard H. Blount,2016,"FMB Equibanc,Inc.",common stock,150000,6.05%,
Director,Leonard H. Blount,2017,"FMB Equibanc,Inc",common stock,150000,6.05%,
Director,Leonard H. Blount,2017,"FMB Equibanc,Inc",common stock,150000,6.05%,
Director,Leonard H. Blount,2017,"FMB Equibanc,Inc",common stock,150000,6.05%,
Director,Leonard H. Blount,2017,"FMB Equibanc,Inc",common stock,150000,6.05%,
Director,Leonard H. Blount,2017,"FMB Equibanc,Inc",common stock,150000,6.05%,
Director,Leonard H. Blount,2017,"FMB Equibanc,Inc",common stock,150000,6.05%,
Director,Jeffrey D. Pope,2017,"FMB Equibanc,Inc",common stock,153000,6.17%,
Director,Jeffrey D. Pope,2017,"FMB Equibanc,Inc",common stock,153000,6.17%,
Director,Jeffrey D. Pope,2017,"FMB Equibanc,Inc",common stock,153000,6.17%,
Director,Jeffrey D. Pope,2017,"FMB Equibanc,Inc",common stock,153000,6.17%,
Director,Jeffrey D. Pope,2017,"FMB Equibanc,Inc",common stock,153000,6.17%,
Chairman & Legal Counsel,Jerry W. Loftin,2014,"F & M Holding Company,Inc.",COMMON STOCK,798829,33%,
,Jaynie Loftin Nesmith,2014,"F & M Holding Company,Inc.",COMMON STOCK,798737,33%,
Director,Patrick Wasden,2014,"F & M Holding Company,Inc.",COMMON STOCK,798921,33.%,
Chairman & Director,Jerry W. Loftin,2015,"F & M Holding Company,Inc.",COMMON STOCK,798829,33%,
,Jaynie Loftin Nesmith,2015,"F & M Holding Company,Inc.",COMMON STOCK,798737,33%,
,Patrick Wasden,2015,"F & M Holding Company,Inc.",COMMON STOCK,798921,33.%,
Director,Lynley Loftin Hipps,2019,"F & M Holding Company,Inc.",COMMON STOCK,798932,33%,
Director,Jaynie Loftin Nesmith,2019,"F & M Holding Company,Inc.",COMMON STOCK,798737,33%,
Chairman/Director,Patrick Wasden,2019,"F & M Holding Company,Inc.",COMMON STOCK,798931,33.%,
Chairman of the Board and CEO,John R. Wallace,2014,F&M Bank,Common stock,197700,15.55%,1138450
Director,Jim Myers,2014,"1st Jackson Bancshares,Inc.",,11891,10.59%,2306993
Director,Jim Myers,2014,"1st Jackson Bancshares,Inc.",,11891,10.59%,2306993
Director,Jim Myers,2014,"1st Jackson Bancshares,Inc.",,11891,10.59%,2306993
Director/Principal Shareholder,"Gaylon M. Lawrence,Jr.",2015,F&M Bank,Common stock,1270271,100%,1138450
Director/Principal Shareholder,"Gaylon M. Lawrence,Jr.",2015,F&M Bank,Common stock,1270271,100%,1138450
Director/Principal Shareholder,"Gaylon M. Lawrence,Jr.",2015,F&M Bank,Common stock,1270271,100%,1138450
Director/Principal Shareholder,"Gaylon M. Lawrence,Jr.",2015,F&M Bank,Common stock,1270271,100%,1138450
Director/Principal Shareholder,"Gaylon M. Lawrence,Jr.",2015,F&M Bank,Common stock,1270271,100%,1138450
Director/Principal Shareholder,"Gaylon M. Lawrence,Jr.",2015,F&M Bank,Common stock,1270271,100%,1138450
Director/Principal Shareholder,"Gaylon M. Lawrence,Jr.",2015,F&M Bank,Common stock,1270271,100%,1138450
Director/Principal Shareholder,"Gaylon M. Lawrence,Jr.",2015,F&M Bank,Common stock,1270271,100%,1138450
Director/Principal Shareholder,"Gaylon M. Lawrence,Jr.",2015,F&M Bank,Common stock,1270271,100%,1138450
Director/Principal Shareholder,"Gaylon M. Lawrence,Jr.",2015,F&M Bank,Common stock,1270271,100%,1138450
Director/Principal Shareholder,"Gaylon M. Lawrence,Jr.",2015,F&M Bank,Common stock,1270271,100%,1138450
Director/Principal Shareholder,"Gaylon M. Lawrence,Jr.",2015,F&M Bank,Common stock,1270271,100%,1138450
Director/Principal Shareholder,"Gaylon M. Lawrence,Jr.",2016,F&M Bank,common stock,1270271,100%,1138450
Director/Principal Shareholder,"Gaylon M. Lawrence,Jr.",2016,F&M Bank,common stock,1270271,100%,1138450
Director/Principal Shareholder,"Gaylon M. Lawrence,Jr.",2016,F&M Bank,common stock,1270271,100%,1138450
Director/Principal Shareholder,"Gaylon M. Lawrence,Jr.",2016,F&M Bank,common stock,1270271,100%,1138450
Director/Principal Shareholder,"Gaylon M. Lawrence,Jr.",2016,F&M Bank,common stock,1270271,100%,1138450
Director/Principal Shareholder,"Gaylon M. Lawrence,Jr.",2016,F&M Bank,common stock,1270271,100%,1138450
Director/Principal Shareholder,"Gaylon M. Lawrence,Jr.",2016,F&M Bank,common stock,1270271,100%,1138450
Director/Principal Shareholder,"Gaylon M. Lawrence,Jr.",2016,F&M Bank,common stock,1270271,100%,1138450
Director/Principal Shareholder,"Gaylon M. Lawrence,Jr.",2016,F&M Bank,common stock,1270271,100%,1138450
Director/Principal Shareholder,"Gaylon M. Lawrence,Jr.",2016,F&M Bank,common stock,1270271,100%,1138450
Director/Principal Shareholder,"Gaylon M. Lawrence,Jr.",2016,F&M Bank,common stock,1270271,100%,1138450
Director/Principal Shareholder,"Gaylon M. Lawrence,Jr.",2016,F&M Bank,common stock,1270271,100%,1138450
Director/Principal Shareholder,"Gaylon M. Lawrence,Jr.",2016,F&M Bank,common stock,1270271,100%,1138450
Director/Principal Shareholder,"Gaylon M. Lawrence,Jr.",2016,F&M Bank,common stock,1270271,100%,1138450
Director/Principal Shareholder,"Gaylon M. Lawrence,Jr.",2016,F&M Bank,common stock,1270271,100%,1138450
Director/Principal Shareholder,"Gaylon M. Lawrence,Jr.",2016,F&M Bank,common stock,1270271,100%,1138450
Director/Principal Shareholder,"Gaylon M. Lawrence,Jr.",2016,F&M Bank,common stock,1270271,100%,1138450
Director/Principal Shareholder,"Gaylon M. Lawrence,Jr.",2016,F&M Bank,common stock,1270271,100%,1138450
Director/Principal Shareholder,"Gaylon M. Lawrence,Jr.",2016,F&M Bank,common stock,1270271,100%,1138450
Director/Principal Shareholder,"Gaylon M. Lawrence,Jr.",2016,F&M Bank,common stock,1270271,100%,1138450
Director/Principal Shareholder,"Gaylon M. Lawrence,Jr.",2016,F&M Bank,common stock,1270271,100%,1138450
Director/Principal Shareholder,"Gaylon M. Lawrence,Jr.",2016,F&M Bank,common stock,1270271,100%,1138450
Director/Principal Shareholder,"Gaylon M. Lawrence,Jr.",2016,F&M Bank,common stock,1270271,100%,1138450
Director/Principal Shareholder,"Gaylon M. Lawrence,Jr.",2016,F&M Bank,common stock,1270271,100%,1138450
Director/Principal Shareholder,"Gaylon M. Lawrence,Jr.",2016,F&M Bank,common stock,1270271,100%,1138450
Director/Principal Shareholder,"Gaylon M. Lawrence,Jr.",2016,F&M Bank,common stock,1270271,100%,1138450
Director/Principal Shareholder,"Gaylon M. Lawrence,Jr.",2016,F&M Bank,common stock,1270271,100%,1138450
Director/Principal Shareholder,"Gaylon M. Lawrence,Jr.",2016,F&M Bank,common stock,1270271,100%,1138450
Director/Principal Shareholder,"Gaylon M. Lawrence,Jr.",2016,F&M Bank,common stock,1270271,100%,1138450
Director/Principal Shareholder,"Gaylon M. Lawrence,Jr.",2016,F&M Bank,common stock,1270271,100%,1138450
Director/Principal Shareholder,"Gaylon M. Lawrence,Jr.",2016,F&M Bank,common stock,1270271,100%,1138450
Director/Principal Shareholder,"Gaylon M. Lawrence,Jr.",2016,F&M Bank,common stock,1270271,100%,1138450
Director/Principal Shareholder,"Gaylon M. Lawrence,Jr.",2016,F&M Bank,common stock,1270271,100%,1138450
Director/Principal Shareholder,"Gaylon M. Lawrence,Jr.",2016,F&M Bank,common stock,1270271,100%,1138450
Director/Principal Shareholder,"Gaylon M. Lawrence,Jr.",2016,F&M Bank,common stock,1270271,100%,1138450
Director/Principal Shareholder,"Gaylon M. Lawrence,Jr.",2016,F&M Bank,common stock,1270271,100%,1138450
Director/Principal Shareholder,"Gaylon M. Lawrence,Jr.",2016,F&M Bank,common stock,1270271,100%,1138450
Director/Principal Shareholder,"Gaylon M. Lawrence,Jr.",2016,F&M Bank,common stock,1270271,100%,1138450
Director/Principal Shareholder,"Gaylon M. Lawrence,Jr.",2016,F&M Bank,common stock,1270271,100%,1138450
Director/Principal Shareholder,"Gaylon M. Lawrence,Jr.",2016,F&M Bank,common stock,1270271,100%,1138450
Director/Principal Shareholder,"Gaylon M. Lawrence,Jr.",2016,F&M Bank,common stock,1270271,100%,1138450
Director/Principal Shareholder,"Gaylon M. Lawrence,Jr.",2016,F&M Bank,common stock,1270271,100%,1138450
Director/Principal Shareholder,"Gaylon M. Lawrence,Jr.",2016,F&M Bank,common stock,1270271,100%,1138450
Director/Principal Shareholder,"Gaylon M. Lawrence,Jr.",2016,F&M Bank,common stock,1270271,100%,1138450
Director/Principal Shareholder,"Gaylon M. Lawrence,Jr.",2016,F&M Bank,common stock,1270271,100%,1138450
Director/Principal Shareholder,"Gaylon M. Lawrence,Jr.",2016,F&M Bank,common stock,1270271,100%,1138450
Director,Jim Myers,2016,"1st Jackson Bancshares,Inc.",,11891,10.59%,2306993
Director/Principal Shareholder,"Gaylon M. Lawrence,Jr.",2017,"CapStar Financial Holdings,Inc",Common Stock,1156675,9.99%,
Director/Principal Shareholder,"Gaylon M. Lawrence,Jr.",2017,F&M BANK,Common stock,1270271,100%,
Director,Jim Myers,2017,"1st Jackson Bancshares,Inc.",,11891,10.59%,
Director/Principal Shareholder,"Gaylon M. Lawrence,Jr.",2019,F&M Bank,Common stock,1270271,100%,741330
Director,Jim Myers,2019,"1st Jackson Bancshares,Inc.",,11891,10.59%,
Director,Jim Myers,2019,"1st Jackson Bancshares,Inc.",,11891,10.59%,
