Bank,Internal Title,Person,External Title,Affiliation,Fiscal Year,Occupation,Percentage of Voting Shares,RSSD_ID,Percentage of Voting Shares in Subsidiaries,URL_Bank_Name,Table Presence
"First Financial Bankshares,Inc.""""",n/a,David L. Copeland,"President of Sipco,Inc. the General Partner""""","Argus Investment Company,Ltd.""""",2023,Foundation Executive,n/a,n/a,n/a,"First Financial Bankshares, Inc._Y-6_2023-12-31T00_00_00_English",both
"First Financial Bankshares,Inc.""""",n/a,David L. Copeland,Manager,Sierra Mike LLC,2023,Foundation Executive,n/a,n/a,n/a,"First Financial Bankshares, Inc._Y-6_2023-12-31T00_00_00_English",both
"First Financial Bankshares,Inc.""""",n/a,David L. Copeland,Treasurer,"Works on Paper,Inc.""""",2023,Foundation Executive,n/a,n/a,n/a,"First Financial Bankshares, Inc._Y-6_2023-12-31T00_00_00_English",both
"First Financial Bankshares,Inc.""""",n/a,David L. Copeland,Vice President,"A Durham,LLC""""",2023,Foundation Executive,n/a,n/a,n/a,"First Financial Bankshares, Inc._Y-6_2023-12-31T00_00_00_English",both
"First Financial Bankshares,Inc.""""",n/a,David L. Copeland,"Vice President of Yums,Inc.""","the General Partner"",DRD Development","LLC"",2023""",Foundation Executive,n/a,n/a,n/a,"First Financial Bankshares, Inc._Y-6_2023-12-31T00_00_00_English",both
"First Financial Bankshares,Inc.""""",n/a,David L. Copeland,Director,Shelton-Hoffman Foundation,2023,Foundation Executive,n/a,n/a,n/a,"First Financial Bankshares, Inc._Y-6_2023-12-31T00_00_00_English",both
"First Financial Bankshares,Inc.""""",Director,Mike B. Denny,n/a,"First Financial Bankshares,Inc.""""",2023,Contractor,0.07%,n/a,n/a,"First Financial Bankshares, Inc._Y-6_2023-12-31T00_00_00_English",both
"First Financial Bankshares,Inc.""""",Director,Mike B. Denny,n/a,"First Financial Bank,N.A.""""",2023,Contractor,n/a,n/a,None,"First Financial Bankshares, Inc._Y-6_2023-12-31T00_00_00_English",both
"First Financial Bankshares,Inc.""""",n/a,Mike B. Denny,Owner,Batjer & Associates Inc.,2023,Contractor,n/a,n/a,n/a,"First Financial Bankshares, Inc._Y-6_2023-12-31T00_00_00_English",both
"First Financial Bankshares,Inc.""""",n/a,Mike B. Denny,Manager,"MJD Canyon Investments,LP""""",2023,Contractor,n/a,n/a,n/a,"First Financial Bankshares, Inc._Y-6_2023-12-31T00_00_00_English",both
"First Financial Bankshares,Inc.""""","Chairman of the Board,President""","CEO and Director"",F. Scott Dueser""",n/a,"First Financial Bankshares,Inc.""""",2023,Banker,1.49%,n/a,n/a,"First Financial Bankshares, Inc._Y-6_2023-12-31T00_00_00_English",both
"First Financial Bankshares,Inc.""""","Chairman of the Board,President""","CEO and Director"",F. Scott Dueser""",n/a,"First Financial Bank,N.A.""""",2023,Banker,n/a,n/a,None,"First Financial Bankshares, Inc._Y-6_2023-12-31T00_00_00_English",both
"First Financial Bankshares,Inc.""""",Director,F. Scott Dueser,n/a,"First Technology Services,Inc.""""",2023,Banker,n/a,n/a,None,"First Financial Bankshares, Inc._Y-6_2023-12-31T00_00_00_English",both
"First Financial Bankshares,Inc.""""",Director,F. Scott Dueser,n/a,"First Financial Trust & Asset Management Company,N.A.""""",2023,Banker,n/a,n/a,None,"First Financial Bankshares, Inc._Y-6_2023-12-31T00_00_00_English",both
"First Financial Bankshares,Inc.""""",n/a,F. Scott Dueser,Trustee,FSD Management Trust,2023,Banker,n/a,n/a,n/a,"First Financial Bankshares, Inc._Y-6_2023-12-31T00_00_00_English",both
"First Financial Bankshares,Inc.""""",n/a,F. Scott Dueser,Manager and Partner,Dueser Family Investments LTD,2023,Banker,n/a,n/a,n/a,"First Financial Bankshares, Inc._Y-6_2023-12-31T00_00_00_English",both
"First Financial Bankshares,Inc.""""",n/a,F. Scott Dueser,Manager,Dueser Management LLC,2023,Banker,n/a,n/a,n/a,"First Financial Bankshares, Inc._Y-6_2023-12-31T00_00_00_English",both
"First Financial Bankshares,Inc.""""",n/a,F. Scott Dueser,Trustee,Scott Dueser Non-Exempt Trust,2023,Banker,n/a,n/a,n/a,"First Financial Bankshares, Inc._Y-6_2023-12-31T00_00_00_English",both
"First Financial Bankshares,Inc.""""",n/a,F. Scott Dueser,Trustee,Scott Dueser Exempt Trust FFD,2023,Banker,n/a,n/a,n/a,"First Financial Bankshares, Inc._Y-6_2023-12-31T00_00_00_English",both
"First Financial Bankshares,Inc.""""",n/a,F. Scott Dueser,Trustee,Scott Dueser Exempt Trust DRD,2023,Banker,n/a,n/a,n/a,"First Financial Bankshares, Inc._Y-6_2023-12-31T00_00_00_English",both
"First Financial Bankshares,Inc.""""",n/a,F. Scott Dueser,Settlor and Trustee,The FSD 2015 Annuity Trust,2023,Banker,n/a,n/a,n/a,"First Financial Bankshares, Inc._Y-6_2023-12-31T00_00_00_English",both
"First Financial Bankshares,Inc.""""",n/a,F. Scott Dueser,Manager,"FSD Consolidated Investment Management,LLC""""",2023,Banker,n/a,n/a,n/a,"First Financial Bankshares, Inc._Y-6_2023-12-31T00_00_00_English",both
"First Financial Bankshares,Inc.""""",n/a,F. Scott Dueser,Manager,FSD Family Investments L.P.,2023,Banker,n/a,n/a,n/a,"First Financial Bankshares, Inc._Y-6_2023-12-31T00_00_00_English",both
"First Financial Bankshares,Inc.""""",n/a,F. Scott Dueser,Manager,"FSD Net Agarita Investment Management,LLC""""",2023,Banker,n/a,n/a,n/a,"First Financial Bankshares, Inc._Y-6_2023-12-31T00_00_00_English",both
"First Financial Bankshares,Inc.""""",n/a,F. Scott Dueser,Manager,Frederick Scott Dueser Family Trust,2023,Banker,n/a,n/a,n/a,"First Financial Bankshares, Inc._Y-6_2023-12-31T00_00_00_English",both
"First Financial Bankshares,Inc.""""",n/a,F. Scott Dueser,Director,Ibex GP LLC,2023,Banker,n/a,n/a,n/a,"First Financial Bankshares, Inc._Y-6_2023-12-31T00_00_00_English",both
"First Financial Bankshares,Inc.""""",n/a,F. Scott Dueser,Director,Breck Minerals LP,2023,Banker,n/a,n/a,n/a,"First Financial Bankshares, Inc._Y-6_2023-12-31T00_00_00_English",both
"First Financial Bankshares,Inc.""""",Director,Murray H. Edwards,n/a,"First Financial Bankshares,Inc.""""",2023,Investor Director,0.27%,n/a,n/a,"First Financial Bankshares, Inc._Y-6_2023-12-31T00_00_00_English",both
"First Financial Bankshares,Inc.""""",Director,Murray H. Edwards,n/a,"First Financial Bank,N.A.""""",2023,Investor Director,n/a,n/a,None,"First Financial Bankshares, Inc._Y-6_2023-12-31T00_00_00_English",both
"First Financial Bankshares,Inc.""""",n/a,Murray H. Edwards,President,"A & S Railway Properties,Inc.""""",2023,Investor Director,n/a,n/a,n/a,"First Financial Bankshares, Inc._Y-6_2023-12-31T00_00_00_English",both
"First Financial Bankshares,Inc.""""",n/a,Murray H. Edwards,Limited Partner,"Edwards & Haney Cottonseed,LP""""",2023,Investor Director,n/a,n/a,n/a,"First Financial Bankshares, Inc._Y-6_2023-12-31T00_00_00_English",both
"First Financial Bankshares,Inc.""""",n/a,Murray H. Edwards,Limited Partner,"Innovation Event Management,LP""""",2023,Investor Director,n/a,n/a,n/a,"First Financial Bankshares, Inc._Y-6_2023-12-31T00_00_00_English",both
"First Financial Bankshares,Inc.""""",n/a,Murray H. Edwards,Secretary,"Cottonweather,LLC""""",2023,Investor Director,n/a,n/a,n/a,"First Financial Bankshares, Inc._Y-6_2023-12-31T00_00_00_English",both
"First Financial Bankshares,Inc.""""",n/a,Murray H. Edwards,Director,"Capstone Event Management,LLC""""",2023,Investor Director,n/a,n/a,n/a,"First Financial Bankshares, Inc._Y-6_2023-12-31T00_00_00_English",both
"First Financial Bankshares,Inc.""""",n/a,Murray H. Edwards,Director,"Capstan Equity Partners,LLC""""",2023,Investor Director,n/a,n/a,n/a,"First Financial Bankshares, Inc._Y-6_2023-12-31T00_00_00_English",both
"First Financial Bankshares,Inc.""""",n/a,Murray H. Edwards,Director,T.G.I. Acquisition Company,2023,Investor Director,n/a,n/a,n/a,"First Financial Bankshares, Inc._Y-6_2023-12-31T00_00_00_English",both
"First Financial Bankshares,Inc.""""",n/a,Murray H. Edwards,Member,"AMBEAR,LLC""""",2023,Investor Director,n/a,n/a,n/a,"First Financial Bankshares, Inc._Y-6_2023-12-31T00_00_00_English",both
"First Financial Bankshares,Inc.""""","Executive Vice President and Chief Financial Officer,Secretary and Treasurer""""",Michelle S. Hickox,n/a,"First Financial Bankshares,Inc.""""",2023,Banker,0.01%,n/a,n/a,"First Financial Bankshares, Inc._Y-6_2023-12-31T00_00_00_English",both
"First Financial Bankshares,Inc.""""",Executive Vice President and Chief Financial Officer,Michelle S. Hickox,n/a,"First Financial Bank,N.A.""""",2023,Banker,n/a,n/a,None,"First Financial Bankshares, Inc._Y-6_2023-12-31T00_00_00_English",both
"First Financial Bankshares,Inc.""""",Director,Eli Jones,n/a,"First Financial Bankshares,Inc.""""",2023,Director,<0.01%,n/a,n/a,"First Financial Bankshares, Inc._Y-6_2023-12-31T00_00_00_English",both
"First Financial Bankshares,Inc.""""",Director,Eli Jones,n/a,"First Financial Bank,N.A.""""",2023,Director,n/a,n/a,None,"First Financial Bankshares, Inc._Y-6_2023-12-31T00_00_00_English",both
"First Financial Bankshares,Inc.""""",n/a,Eli Jones,Director,"Insperity,Inc.""""",2023,Director,n/a,n/a,n/a,"First Financial Bankshares, Inc._Y-6_2023-12-31T00_00_00_English",both
"First Financial Bankshares,Inc.""""",Director,Ivan Tim Lancaster,n/a,"First Financial Bankshares,Inc.""""",2023,Retired Hospital Administrator / Executive,0.02%,n/a,n/a,"First Financial Bankshares, Inc._Y-6_2023-12-31T00_00_00_English",both
"First Financial Bankshares,Inc.""""",Director,Ivan Tim Lancaster,n/a,"First Financial Bank,N.A.""""",2023,Retired Hospital Administrator / Executive,n/a,n/a,None,"First Financial Bankshares, Inc._Y-6_2023-12-31T00_00_00_English",both
"First Financial Bankshares,Inc.""""",Executive Vice President and Chief Credit Officer,T. Luke Longhofer,n/a,"First Financial Bankshares,Inc.""""",2023,Banker,0.03%,n/a,n/a,"First Financial Bankshares, Inc._Y-6_2023-12-31T00_00_00_English",both
"First Financial Bankshares,Inc.""""",Executive Vice President and Chief Credit Officer,T. Luke Longhofer,n/a,"First Financial Bank,N.A.""""",2023,Banker,n/a,n/a,None,"First Financial Bankshares, Inc._Y-6_2023-12-31T00_00_00_English",both
"First Financial Bankshares,Inc.""""",n/a,T. Luke Longhofer,President & Director,"First Financial Insurance Agency,Inc.""""",2023,Banker,n/a,n/a,n/a,"First Financial Bankshares, Inc._Y-6_2023-12-31T00_00_00_English",both
"First Financial Bankshares,Inc.""""",Director,Kade L. Matthews,n/a,"First Financial Bankshares,Inc.""""",2023,Rancher and Investor,0.90%,n/a,n/a,"First Financial Bankshares, Inc._Y-6_2023-12-31T00_00_00_English",both
"First Financial Bankshares,Inc.""""",Director,Kade L. Matthews,n/a,"First Financial Bank,N.Α.""""",2023,Rancher and Investor,n/a,n/a,None,"First Financial Bankshares, Inc._Y-6_2023-12-31T00_00_00_English",both
"First Financial Bankshares,Inc.""""",n/a,Kade L. Matthews,President/Director,Legett Foundation,2023,Rancher and Investor,n/a,n/a,n/a,"First Financial Bankshares, Inc._Y-6_2023-12-31T00_00_00_English",both
"First Financial Bankshares,Inc.""""",n/a,Kade L. Matthews,Director/President,Dodge Jones Legacy Foundation,2023,Rancher and Investor,n/a,n/a,n/a,"First Financial Bankshares, Inc._Y-6_2023-12-31T00_00_00_English",both
"First Financial Bankshares,Inc.""""",n/a,Kade L. Matthews,President,Karakin Foundation,2023,Rancher and Investor,n/a,n/a,n/a,"First Financial Bankshares, Inc._Y-6_2023-12-31T00_00_00_English",both
"First Financial Bankshares,Inc.""""",n/a,Kade L. Matthews,Director/President,Kickapoo Foundation,2023,Rancher and Investor,n/a,n/a,n/a,"First Financial Bankshares, Inc._Y-6_2023-12-31T00_00_00_English",both
"First Financial Bankshares,Inc.""""",n/a,Kade L. Matthews,President,"Clarendon KLM,Inc.""""",2023,Rancher and Investor,n/a,n/a,n/a,"First Financial Bankshares, Inc._Y-6_2023-12-31T00_00_00_English",both
"First Financial Bankshares,Inc.""""",n/a,Kade L. Matthews,President,"KLM Oil Properties,LLC""""",2023,Rancher and Investor,n/a,n/a,n/a,"First Financial Bankshares, Inc._Y-6_2023-12-31T00_00_00_English",both
"First Financial Bankshares,Inc.""""",n/a,Kade L. Matthews,Limited Partner,KLM Griffin Ranch L.P.,2023,Rancher and Investor,n/a,n/a,n/a,"First Financial Bankshares, Inc._Y-6_2023-12-31T00_00_00_English",both
"First Financial Bankshares,Inc.""""",n/a,Kade L. Matthews,Director,MD Anderson,2023,Rancher and Investor,n/a,n/a,n/a,"First Financial Bankshares, Inc._Y-6_2023-12-31T00_00_00_English",both
"First Financial Bankshares,Inc.""""",n/a,Kade L. Matthews,Member/Manager,Matthews Ranches Management,2023,Rancher and Investor,n/a,n/a,n/a,"First Financial Bankshares, Inc._Y-6_2023-12-31T00_00_00_English",both
"First Financial Bankshares,Inc.""""",n/a,Kade L. Matthews,Emeritus Trustee,Texas Christian University,2023,Rancher and Investor,n/a,n/a,n/a,"First Financial Bankshares, Inc._Y-6_2023-12-31T00_00_00_English",both
"First Financial Bankshares,Inc.""""","EVP,Chief Accounting Officer""""",J. Kyle McVey,n/a,"First Financial Bankshares,Inc.""""",2023,Banker,0.02%,n/a,n/a,"First Financial Bankshares, Inc._Y-6_2023-12-31T00_00_00_English",both
"First Financial Bankshares,Inc.""""","EVP,Chief Accounting Officer""""",J. Kyle McVey,n/a,"First Financial Bank,N.A.""""",2023,Banker,n/a,n/a,None,"First Financial Bankshares, Inc._Y-6_2023-12-31T00_00_00_English",both
"First Financial Bankshares,Inc.""""",Director,Robert C. Nickles,n/a,"First Financial Bankshares,Inc.""""",2023,Gas Compressor Manufacturer,0.07%,n/a,n/a,"First Financial Bankshares, Inc._Y-6_2023-12-31T00_00_00_English",both
"First Financial Bankshares,Inc.""""",Director,Robert C. Nickles,n/a,"First Financial Bank,N.A.""""",2023,Gas Compressor Manufacturer,n/a,n/a,None,"First Financial Bankshares, Inc._Y-6_2023-12-31T00_00_00_English",both
"First Financial Bankshares,Inc.""""",n/a,Robert C. Nickles,Private Investments,"Nickles5Investments,LLC""""",2023,Gas Compressor Manufacturer,n/a,n/a,n/a,"First Financial Bankshares, Inc._Y-6_2023-12-31T00_00_00_English",both
"First Financial Bankshares,Inc.""""",n/a,Robert C. Nickles,Private Investments,"3MCB Investments,LLC""""",2023,Gas Compressor Manufacturer,n/a,n/a,n/a,"First Financial Bankshares, Inc._Y-6_2023-12-31T00_00_00_English",both
"First Financial Bankshares,Inc.""""",n/a,Robert C. Nickles,Founder & Executive Chairman,Alegacy Group,2023,Gas Compressor Manufacturer,n/a,n/a,n/a,"First Financial Bankshares, Inc._Y-6_2023-12-31T00_00_00_English",both
"First Financial Bankshares,Inc.""""",n/a,Robert C. Nickles,Founder & Executive Chairman,Alegacy Development,2023,Gas Compressor Manufacturer,n/a,n/a,n/a,"First Financial Bankshares, Inc._Y-6_2023-12-31T00_00_00_English",both
"First Financial Bankshares,Inc.""""",n/a,Robert C. Nickles,Founder & Executive Chairman,Alegacy Equipment,2023,Gas Compressor Manufacturer,n/a,n/a,n/a,"First Financial Bankshares, Inc._Y-6_2023-12-31T00_00_00_English",both
"First Financial Bankshares,Inc.""""",Executive Vice President and Chief Risk Officer,Randy A. Roewe,n/a,"First Financial Bankshares,Inc.""""",2023,Banker,0.02%,n/a,n/a,"First Financial Bankshares, Inc._Y-6_2023-12-31T00_00_00_English",both
"First Financial Bankshares,Inc.""""",Executive Vice President and Chief Risk Officer,Randy A. Roewe,n/a,"First Financial Bank,N.A.""""",2023,Banker,n/a,n/a,None,"First Financial Bankshares, Inc._Y-6_2023-12-31T00_00_00_English",both
"First Financial Bankshares,Inc.""""",Executive Vice President and Chief Information Officer,John J. Ruzicka,n/a,"First Financial Bankshares,Inc.""""",2023,Banker,0.01%,n/a,n/a,"First Financial Bankshares, Inc._Y-6_2023-12-31T00_00_00_English",both
"First Financial Bankshares,Inc.""""","Chairman,President and Chief Executive Officer and Director""""",John J. Ruzicka,n/a,"First Technology Services,Inc.""""",2023,Banker,n/a,n/a,None,"First Financial Bankshares, Inc._Y-6_2023-12-31T00_00_00_English",both
"First Financial Bankshares,Inc.""""",Executive Vice President and,Kirk W. Thaxton,n/a,"First Financial Bankshares,Inc.""""",2023,Banker,0.12%,n/a,n/a,"First Financial Bankshares, Inc._Y-6_2023-12-31T00_00_00_English",both
"First Financial Bankshares,Inc.""""","Chairman,President & Chief Executive Officer""""",Kirk W. Thaxton,n/a,"First Financial Trust & Asset Management Company,N.A""""",2023,Banker,n/a,n/a,None,"First Financial Bankshares, Inc._Y-6_2023-12-31T00_00_00_English",both
"First Financial Bankshares,Inc.""""",Director,Johnny E. Trotter,n/a,"First Financial Bankshares,Inc.""""",2023,Rancher and Farmer,0.70%,n/a,n/a,"First Financial Bankshares, Inc._Y-6_2023-12-31T00_00_00_English",both
"First Financial Bankshares,Inc.""""",Director,Johnny E. Trotter,n/a,"First Financial Bank,N.A.""""",2023,Rancher and Farmer,n/a,n/a,None,"First Financial Bankshares, Inc._Y-6_2023-12-31T00_00_00_English",both
"First Financial Bankshares,Inc.""""",n/a,Johnny E. Trotter,Director,Frontier Capital Group,2023,Rancher and Farmer,n/a,n/a,n/a,"First Financial Bankshares, Inc._Y-6_2023-12-31T00_00_00_English",both
"First Financial Bankshares,Inc.""""",n/a,Johnny E. Trotter,President,"Livestock Investors,Ltd.""""",2023,Rancher and Farmer,n/a,n/a,n/a,"First Financial Bankshares, Inc._Y-6_2023-12-31T00_00_00_English",both
"First Financial Bankshares,Inc.""""",n/a,Johnny E. Trotter,President,"Bar G Trucking,Inc.""""",2023,Rancher and Farmer,n/a,n/a,n/a,"First Financial Bankshares, Inc._Y-6_2023-12-31T00_00_00_English",both
"First Financial Bankshares,Inc.""""",n/a,Johnny E. Trotter,President,"XCL Feeders,Inc.""""",2023,Rancher and Farmer,n/a,n/a,n/a,"First Financial Bankshares, Inc._Y-6_2023-12-31T00_00_00_English",both
"First Financial Bankshares,Inc.""""",n/a,Johnny E. Trotter,President,Trotter Farms,2023,Rancher and Farmer,n/a,n/a,n/a,"First Financial Bankshares, Inc._Y-6_2023-12-31T00_00_00_English",both
"First Financial Bankshares,Inc.""""",n/a,Johnny E. Trotter,Director,Plains Bancorp,2023,Rancher and Farmer,n/a,n/a,n/a,"First Financial Bankshares, Inc._Y-6_2023-12-31T00_00_00_English",both
"First Financial Bankshares,Inc.""""",n/a,Johnny E. Trotter,Partner,JT Real Estate Investment,2023,Rancher and Farmer,n/a,n/a,n/a,"First Financial Bankshares, Inc._Y-6_2023-12-31T00_00_00_English",both
"First Financial Bankshares,Inc.""""",n/a,Johnny E. Trotter,Partner,Texas Auto Inv.,2023,Rancher and Farmer,n/a,n/a,n/a,"First Financial Bankshares, Inc._Y-6_2023-12-31T00_00_00_English",both
"First Financial Bankshares,Inc.""""",n/a,Johnny E. Trotter,Partner,Trotter/Matthews,2023,Rancher and Farmer,n/a,n/a,n/a,"First Financial Bankshares, Inc._Y-6_2023-12-31T00_00_00_English",both
"First Financial Bankshares,Inc.""""",n/a,Johnny E. Trotter,Partner,Trotter/Scarmardo,2023,Rancher and Farmer,n/a,n/a,n/a,"First Financial Bankshares, Inc._Y-6_2023-12-31T00_00_00_English",both
"First Financial Bankshares,Inc.""""",n/a,Johnny E. Trotter,Partner,Panhandle Real Estate,2023,Rancher and Farmer,n/a,n/a,n/a,"First Financial Bankshares, Inc._Y-6_2023-12-31T00_00_00_English",both
"First Financial Bankshares,Inc.""""",n/a,Johnny E. Trotter,Partner,Deaf Smith Enterprises LP,2023,Rancher and Farmer,n/a,n/a,n/a,"First Financial Bankshares, Inc._Y-6_2023-12-31T00_00_00_English",both
"First Financial Bankshares,Inc.""""",n/a,Johnny E. Trotter,Partner,Trotter & Lloyd,2023,Rancher and Farmer,n/a,n/a,n/a,"First Financial Bankshares, Inc._Y-6_2023-12-31T00_00_00_English",both
"First Financial Bankshares,Inc.""""",n/a,Johnny E. Trotter,Partner,Quality Distiller's Grain,2023,Rancher and Farmer,n/a,n/a,n/a,"First Financial Bankshares, Inc._Y-6_2023-12-31T00_00_00_English",both
"First Financial Bankshares,Inc.""""",n/a,Johnny E. Trotter,Partner,Panhandle Express Transportation,2023,Rancher and Farmer,n/a,n/a,n/a,"First Financial Bankshares, Inc._Y-6_2023-12-31T00_00_00_English",both
"First Financial Bankshares,Inc.""""",n/a,Johnny E. Trotter,Partner,Trotter - Parker,2023,Rancher and Farmer,n/a,n/a,n/a,"First Financial Bankshares, Inc._Y-6_2023-12-31T00_00_00_English",both
"First Financial Bankshares,Inc.""""",n/a,Johnny E. Trotter,Partner,FCG Investment Group,2023,Rancher and Farmer,n/a,n/a,n/a,"First Financial Bankshares, Inc._Y-6_2023-12-31T00_00_00_English",both
"First Financial Bankshares,Inc.""""",n/a,Johnny E. Trotter,"Director,Shareholder""""",Equine Center Land Co,2023,Rancher and Farmer,n/a,n/a,n/a,"First Financial Bankshares, Inc._Y-6_2023-12-31T00_00_00_English",both
"First Financial Bankshares,Inc.""""",n/a,Johnny E. Trotter,"Director,Shareholder""""",Granada Farms Inc.,2023,Rancher and Farmer,n/a,n/a,n/a,"First Financial Bankshares, Inc._Y-6_2023-12-31T00_00_00_English",both
"First Financial Bankshares,Inc.""""",n/a,Johnny E. Trotter,Limited Partner,Buffalo Technology Group Ltd,2023,Rancher and Farmer,n/a,n/a,n/a,"First Financial Bankshares, Inc._Y-6_2023-12-31T00_00_00_English",both
"First Financial Bankshares,Inc.""""",n/a,Johnny E. Trotter,Partner,Aransas Pass LP,2023,Rancher and Farmer,n/a,n/a,n/a,"First Financial Bankshares, Inc._Y-6_2023-12-31T00_00_00_English",both
"First Financial Bankshares,Inc.""""",n/a,Johnny E. Trotter,Partner,"All-American Ruidoso Downs,LLC""""",2023,Rancher and Farmer,n/a,n/a,n/a,"First Financial Bankshares, Inc._Y-6_2023-12-31T00_00_00_English",both
"First Financial Bankshares,Inc.""""",n/a,Johnny E. Trotter,Partner,All-American Ruidoso Horse Sales LLC,2023,Rancher and Farmer,n/a,n/a,n/a,"First Financial Bankshares, Inc._Y-6_2023-12-31T00_00_00_English",both
"First Financial Bankshares,Inc.""""",n/a,Johnny E. Trotter,Partner,JFS Capital Group,2023,Rancher and Farmer,n/a,n/a,n/a,"First Financial Bankshares, Inc._Y-6_2023-12-31T00_00_00_English",both
"First Financial Bankshares,Inc.""""",n/a,Johnny E. Trotter,Partner,"Heritage IX Abilene,LLC""""",2023,Rancher and Farmer,n/a,n/a,n/a,"First Financial Bankshares, Inc._Y-6_2023-12-31T00_00_00_English",both
"First Financial Bankshares,Inc.""""",Principal Securitites Holder,The Vanguard,n/a,n/a,2023,Investment Mangement,10.14%,n/a,n/a,"First Financial Bankshares, Inc._Y-6_2023-12-31T00_00_00_English",both
FIRST FINANCIAL CORPORATION,"President,Executive Officer & Director""""",W. Curtis Brighton,Director,"Templeton Coal Company,Inc""""",2023,"President Templeton Coal Company,Inc""""",0.19%,1208595,n/a,First Financial Corporation_Y-6_2023-12-31T00_00_00_English,both
FIRST FINANCIAL CORPORATION,"President,Executive Officer & Director""""",W. Curtis Brighton,Director,Gas-Co LLC,2023,"President Templeton Coal Company,Inc""""",0.19%,1208595,n/a,First Financial Corporation_Y-6_2023-12-31T00_00_00_English,both
FIRST FINANCIAL CORPORATION,"President,Executive Officer & Director""""",W. Curtis Brighton,Director,"Plumb Supply Company,LLC""""",2023,"President Templeton Coal Company,Inc""""",0.19%,1208595,n/a,First Financial Corporation_Y-6_2023-12-31T00_00_00_English,both
FIRST FINANCIAL CORPORATION,"President,Executive Officer & Director""""",W. Curtis Brighton,Director,"Dickson's,Inc""""",2023,"President Templeton Coal Company,Inc""""",0.19%,1208595,n/a,First Financial Corporation_Y-6_2023-12-31T00_00_00_English,both
FIRST FINANCIAL CORPORATION,"President,Executive Officer & Director""""",W. Curtis Brighton,Director,Hulman & Company,2023,"President Templeton Coal Company,Inc""""",0.19%,1208595,n/a,First Financial Corporation_Y-6_2023-12-31T00_00_00_English,both
FIRST FINANCIAL CORPORATION,"President,Executive Officer & Director""""",W. Curtis Brighton,Director,"Foundation,Inc""""",2023,"President Templeton Coal Company,Inc""""",0.19%,1208595,n/a,First Financial Corporation_Y-6_2023-12-31T00_00_00_English,both
FIRST FINANCIAL CORPORATION,"President,Executive Officer & Director""""",W. Curtis Brighton,Director,"Physitemp Instruments,LLC""""",2023,"President Templeton Coal Company,Inc""""",0.19%,1208595,n/a,First Financial Corporation_Y-6_2023-12-31T00_00_00_English,both
FIRST FINANCIAL CORPORATION,"President,Executive Officer & Director""""",W. Curtis Brighton,Officer,Sherwood Templeton Coal Company,2023,"President Templeton Coal Company,Inc""""",0.19%,1208595,n/a,First Financial Corporation_Y-6_2023-12-31T00_00_00_English,both
FIRST FINANCIAL CORPORATION,"President,Executive Officer & Director""""",W. Curtis Brighton,Officer,"Templeton Mineral Lands,LLC""""",2023,"President Templeton Coal Company,Inc""""",0.19%,1208595,n/a,First Financial Corporation_Y-6_2023-12-31T00_00_00_English,both
FIRST FINANCIAL CORPORATION,"President,Executive Officer & Director""""",W. Curtis Brighton,Officer,"Templeton Commercial Properties,LLC""""",2023,"President Templeton Coal Company,Inc""""",0.19%,1208595,n/a,First Financial Corporation_Y-6_2023-12-31T00_00_00_English,both
FIRST FINANCIAL CORPORATION,Director & President,Thomas T. Dinkel,Director,Commerce Park Corp.,2023,Mechanical & Electrical Engineering & Construction,0.15%,1208595,n/a,First Financial Corporation_Y-6_2023-12-31T00_00_00_English,both
FIRST FINANCIAL CORPORATION,Director & President,Thomas T. Dinkel,Director,"Dinkel Associates,Inc.""""",2023,Mechanical & Electrical Engineering & Construction,0.15%,1208595,n/a,First Financial Corporation_Y-6_2023-12-31T00_00_00_English,both
FIRST FINANCIAL CORPORATION,Director & President,Thomas T. Dinkel,Director,"Dinkel TELEKOM,Inc.""""",2023,Mechanical & Electrical Engineering & Construction,0.15%,1208595,n/a,First Financial Corporation_Y-6_2023-12-31T00_00_00_English,both
FIRST FINANCIAL CORPORATION,Director & President,Thomas T. Dinkel,Director,Sycamore Building Corp.,2023,Mechanical & Electrical Engineering & Construction,0.15%,1208595,n/a,First Financial Corporation_Y-6_2023-12-31T00_00_00_English,both
FIRST FINANCIAL CORPORATION,Director & President,Thomas T. Dinkel,Director,Sycamore Engineering Corp.,2023,Mechanical & Electrical Engineering & Construction,0.15%,1208595,n/a,First Financial Corporation_Y-6_2023-12-31T00_00_00_English,both
FIRST FINANCIAL CORPORATION,Director & President,Thomas T. Dinkel,Director,"Sycamore Engineering,Inc.""""",2023,Mechanical & Electrical Engineering & Construction,0.15%,1208595,n/a,First Financial Corporation_Y-6_2023-12-31T00_00_00_English,both
FIRST FINANCIAL CORPORATION,Director & President,Thomas T. Dinkel,Treasurer,Rose-Hulman Board,2023,Mechanical & Electrical Engineering & Construction,0.15%,1208595,n/a,First Financial Corporation_Y-6_2023-12-31T00_00_00_English,both
FIRST FINANCIAL CORPORATION,Director & President,Thomas T. Dinkel,Trustee,Rose-Hulman Inst of Technology,2023,Mechanical & Electrical Engineering & Construction,0.15%,1208595,n/a,First Financial Corporation_Y-6_2023-12-31T00_00_00_English,both
FIRST FINANCIAL CORPORATION,Director,Gregory L. Gibson,Director & Officer,"8th & Wabash,LLC""""",2023,"President ReTec,Inc.""""",0.88%,1208595,n/a,First Financial Corporation_Y-6_2023-12-31T00_00_00_English,both
